Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1983	1	133
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1983	2	240
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1983	3	360
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1983	4	313
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1983	5	1,258
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1983	6	927
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1983	7	1,183
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1983	8	1,631
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1983	9	949
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1983	10	1,714
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1983	11	458
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1983	12	147
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1984	1	277
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1984	2	418
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1984	3	422
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1984	4	792
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1984	5	1,892
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1984	6	949
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1984	7	1,110
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1984	8	1,464
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1984	9	1,113
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1984	10	1,928
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1984	11	476
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1984	12	494
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1985	1	341
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1985	2	362
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1985	3	851
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1985	4	1,097
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1985	5	1,609
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1985	6	1,531
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1985	7	1,494
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1985	8	1,436
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1985	9	1,296
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1985	10	2,660
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1985	11	715
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1985	12	228
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1986	1	278
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1986	2	304
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1986	3	932
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1986	4	1,043
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1986	5	1,707
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1986	6	1,633
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1986	7	1,347
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1986	8	1,841
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1986	9	1,847
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1986	10	2,376
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1986	11	476
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1986	12	344
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1987	1	972
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1987	2	503
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1987	3	1,123
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1987	4	1,019
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1987	5	2,450
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1987	6	1,366
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1987	7	1,174
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1987	8	1,401
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1987	9	1,309
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1987	10	3,637
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1987	11	985
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1987	12	293
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1988	1	604
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1988	2	538
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1988	3	680
Friendship Hill NHS	FRHI	National Historic Site	Northeast 	PA	1988	4	1,010
