Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1982	1	40
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1982	2	44
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1982	3	42
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1982	4	28
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1982	5	35
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1982	6	109
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1982	7	357
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1982	8	486
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1982	9	135
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1982	10	35
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1982	11	35
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1982	12	35
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1983	1	5
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1983	2	5
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1983	3	11
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1983	4	30
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1983	5	75
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1983	6	279
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1983	7	701
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1983	8	673
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1983	9	279
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1983	10	45
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1983	11	22
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1983	12	13
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1984	1	20
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1984	2	66
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1984	3	58
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1984	4	63
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1984	5	41
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1984	6	402
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1984	7	447
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1984	8	965
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1984	9	295
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1984	10	61
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1984	11	12
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1984	12	10
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1985	1	48
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1985	2	8
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1985	3	21
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1985	4	74
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1985	5	11
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1985	6	213
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1985	7	351
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1985	8	525
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1985	9	64
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1985	10	2
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1985	11	10
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1985	12	54
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1986	1	9
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1986	2	22
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1986	3	67
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1986	4	103
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1986	5	30
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1986	6	116
Gates of the Arctic NP & PRES	GAAR	National Park	Alaska	AK	1986	7	816
