Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1979	1	22,299
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1979	2	38,053
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1979	3	79,618
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1979	4	110,796
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1979	5	188,055
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1979	6	247,762
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1979	7	356,023
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1979	8	364,699
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1979	9	174,082
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1979	10	107,037
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1979	11	98,736
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1979	12	72,271
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1980	1	41,431
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1980	2	46,423
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1980	3	99,144
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1980	4	131,521
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1980	5	187,344
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1980	6	306,820
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1980	7	346,815
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1980	8	376,874
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1980	9	111,161
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1980	10	113,203
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1980	11	104,958
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1980	12	63,131
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1981	1	56,719
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1981	2	49,198
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1981	3	91,646
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1981	4	124,140
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1981	5	190,602
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1981	6	269,241
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1981	7	813,587
Gateway Arch NP	JEFF	National Park	Midwest 	MO	1981	8	363,913
