Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1979	1	56,483
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1979	2	67,254
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1979	3	167,349
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1979	4	210,143
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1979	5	285,049
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1979	6	624,628
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1979	7	3,912,215
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1979	8	2,009,575
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1979	9	784,333
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1979	10	472,342
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1979	11	122,988
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1979	12	60,769
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1980	1	24,356
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1980	2	23,013
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1980	3	37,236
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1980	4	107,956
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1980	5	494,291
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1980	6	1,033,846
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1980	7	3,071,490
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1980	8	2,883,821
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1980	9	962,011
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1980	10	245,766
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1980	11	109,614
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1980	12	59,857
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1981	1	47,521
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1981	2	89,241
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1981	3	83,780
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1981	4	176,970
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1981	5	460,593
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1981	6	1,202,178
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1981	7	3,493,360
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1981	8	2,279,171
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1981	9	1,012,583
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1981	10	341,652
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1981	11	117,115
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1981	12	72,315
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1982	1	42,541
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1982	2	81,833
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1982	3	95,155
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1982	4	203,400
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1982	5	434,174
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1982	6	1,418,743
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1982	7	3,394,057
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1982	8	2,491,299
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1982	9	1,017,128
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1982	10	401,640
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1982	11	168,713
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1982	12	120,452
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1983	1	171,857
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1983	2	225,217
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1983	3	105,917
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1983	4	218,812
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1983	5	470,952
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1983	6	1,654,639
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1983	7	3,150,909
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1983	8	2,271,879
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1983	9	1,442,758
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1983	10	311,553
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1983	11	189,330
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1983	12	133,687
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1984	1	83,464
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1984	2	116,189
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1984	3	143,320
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1984	4	227,292
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1984	5	360,960
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1984	6	1,414,691
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1984	7	2,133,881
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1984	8	1,823,845
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1984	9	814,750
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1984	10	372,488
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1984	11	235,490
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1984	12	154,736
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1985	1	81,202
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1985	2	134,718
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1985	3	167,378
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1985	4	265,388
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1985	5	694,466
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1985	6	1,305,815
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1985	7	2,638,562
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1985	8	1,811,036
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1985	9	727,213
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1985	10	418,443
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1985	11	220,395
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1985	12	176,118
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1986	1	144,865
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1986	2	117,646
Gateway NRA	GATE	National Recreation Area	Northeast 	NY	1986	3	214,985
