Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1993	1	0
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1993	2	0
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1993	3	0
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1993	4	0
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1993	5	14,328
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1993	6	15,970
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1993	7	14,915
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1993	8	21,163
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1993	9	73,208
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1993	10	46,430
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1993	11	4,650
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1993	12	4,650
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1994	1	4,650
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1994	2	4,650
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1994	3	4,650
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1994	4	11,825
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1994	5	15,563
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1994	6	13,425
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1994	7	15,313
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1994	8	22,553
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1994	9	72,875
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1994	10	74,500
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1994	11	4,788
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1994	12	13,955
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1995	1	4,738
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1995	2	6,470
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1995	3	6,808
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1995	4	10,135
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1995	5	16,338
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1995	6	18,765
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1995	7	15,135
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1995	8	10,585
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1995	9	52,610
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1995	10	52,488
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1995	11	4,105
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1995	12	2,100
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1996	1	1,180
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1996	2	6,155
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1996	3	6,842
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1996	4	5,545
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1996	5	16,200
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1996	6	16,338
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1996	7	21,798
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1996	8	9,668
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1996	9	76,913
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1996	10	48,403
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1996	11	3,700
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1996	12	2,138
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1997	1	3,130
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1997	2	5,210
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1997	3	8,537
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1997	4	7,933
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1997	5	12,583
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1997	6	15,075
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1997	7	21,950
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1997	8	18,360
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1997	9	78,880
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1997	10	70,975
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1997	11	4,100
Gauley River NRA	GARI	National Recreation Area	Northeast 	WV	1997	12	2,145
