Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1979	1	1,107
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1979	2	674
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1979	3	1,237
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1979	4	2,740
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1979	5	3,051
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1979	6	5,141
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1979	7	4,902
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1979	8	5,075
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1979	9	4,681
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1979	10	3,576
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1979	11	1,646
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1979	12	1,287
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1980	1	1,338
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1980	2	1,188
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1980	3	1,532
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1980	4	2,011
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1980	5	2,583
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1980	6	4,865
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1980	7	6,280
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1980	8	5,164
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1980	9	2,818
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1980	10	4,405
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1980	11	2,392
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1980	12	1,365
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1981	1	1,382
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1981	2	2,070
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1981	3	3,001
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1981	4	4,952
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1981	5	4,711
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1981	6	3,861
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1981	7	4,994
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1981	8	4,854
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1981	9	3,418
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1981	10	3,552
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1981	11	2,621
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1981	12	1,636
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1982	1	1,015
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1982	2	1,971
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1982	3	2,903
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1982	4	4,257
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1982	5	4,140
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1982	6	4,312
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1982	7	4,409
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1982	8	6,703
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1982	9	3,722
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1982	10	4,780
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1982	11	2,832
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1982	12	2,576
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1983	1	1,860
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1983	2	1,995
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1983	3	4,117
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1983	4	4,006
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1983	5	5,713
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1983	6	12,880
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1983	7	16,567
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1983	8	21,036
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1983	9	6,245
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1983	10	3,986
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1983	11	3,173
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1983	12	1,014
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1984	1	1,526
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1984	2	1,898
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1984	3	2,794
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1984	4	3,972
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1984	5	3,372
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1984	6	3,180
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1984	7	14,905
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1984	8	39,753
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1984	9	3,955
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1984	10	3,840
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1984	11	4,442
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1984	12	3,277
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1985	1	2,473
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1985	2	2,506
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1985	3	4,637
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1985	4	5,838
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1985	5	5,038
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1985	6	5,002
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1985	7	5,865
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1985	8	8,023
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1985	9	3,610
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1985	10	3,812
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1985	11	3,844
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1985	12	3,304
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1986	1	2,578
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1986	2	2,315
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1986	3	3,286
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1986	4	4,882
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1986	5	4,406
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1986	6	4,460
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1986	7	5,308
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1986	8	5,038
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1986	9	2,253
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1986	10	5,218
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1986	11	3,887
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1986	12	2,999
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1987	1	2,878
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1987	2	3,040
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1987	3	5,786
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1987	4	8,463
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1987	5	9,843
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1987	6	8,448
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1987	7	6,366
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1987	8	6,834
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1987	9	4,339
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1987	10	6,235
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1987	11	4,667
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1987	12	2,321
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1988	1	2,069
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1988	2	3,160
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1988	3	3,547
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1988	4	6,198
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1988	5	6,067
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1988	6	7,287
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1988	7	9,435
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1988	8	7,125
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1988	9	4,678
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1988	10	5,575
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1988	11	4,331
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1988	12	3,477
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1989	1	3,326
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1989	2	5,445
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1989	3	5,414
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1989	4	6,403
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1989	5	5,433
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1989	6	7,111
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1989	7	7,545
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1989	8	7,726
General Grant NMEM	GEGR	National Memorial	Northeast 	NY	1989	9	7,370
