Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1979	1	941
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1979	2	1,772
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1979	3	3,001
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1979	4	6,006
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1979	5	20,515
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1979	6	7,348
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1979	7	15,685
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1979	8	7,211
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1979	9	6,008
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1979	10	5,242
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1979	11	3,419
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1979	12	1,600
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1980	1	1,304
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1980	2	1,043
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1980	3	3,793
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1980	4	4,981
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1980	5	19,497
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1980	6	7,381
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1980	7	16,259
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1980	8	7,949
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1980	9	5,431
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1980	10	6,152
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1980	11	4,732
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1980	12	2,046
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1981	1	1,950
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1981	2	2,297
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1981	3	3,901
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1981	4	7,042
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1981	5	21,270
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1981	6	7,032
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1981	7	24,229
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1981	8	9,379
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1981	9	5,699
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1981	10	6,525
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1981	11	3,871
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1981	12	1,798
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1982	1	1,246
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1982	2	2,306
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1982	3	5,002
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1982	4	7,654
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1982	5	25,118
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1982	6	9,773
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1982	7	22,196
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1982	8	10,960
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1982	9	8,112
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1982	10	9,451
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1982	11	3,643
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1982	12	2,264
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1983	1	1,736
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1983	2	2,257
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1983	3	3,277
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1983	4	8,686
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1983	5	30,355
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1983	6	10,424
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1983	7	20,520
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1983	8	10,318
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1983	9	8,163
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1983	10	9,355
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1983	11	4,092
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1983	12	1,900
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1984	1	1,926
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1984	2	2,421
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1984	3	4,370
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1984	4	7,938
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1984	5	31,480
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1984	6	9,758
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1984	7	21,414
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1984	8	9,486
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1984	9	7,157
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1984	10	9,176
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1984	11	4,575
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1984	12	3,046
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1985	1	1,726
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1985	2	2,190
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1985	3	7,043
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1985	4	8,955
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1985	5	34,819
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1985	6	9,616
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1985	7	26,147
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1985	8	9,478
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1985	9	6,474
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1985	10	8,232
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1985	11	4,900
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1985	12	1,975
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1986	1	1,809
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1986	2	2,331
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1986	3	5,381
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1986	4	7,700
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1986	5	32,408
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1986	6	9,899
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1986	7	28,537
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1986	8	10,451
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1986	9	6,190
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1986	10	9,133
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1986	11	4,460
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1986	12	2,604
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1987	1	2,045
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1987	2	3,210
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1987	3	5,066
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1987	4	6,610
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1987	5	33,581
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1987	6	10,333
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1987	7	30,318
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1987	8	8,574
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1987	9	6,064
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1987	10	7,250
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1987	11	4,147
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1987	12	2,526
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1988	1	1,928
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1988	2	2,594
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1988	3	4,760
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1988	4	8,738
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1988	5	32,846
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1988	6	8,854
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1988	7	20,390
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1988	8	9,077
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1988	9	7,802
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1988	10	9,038
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1988	11	4,259
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1988	12	3,497
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1989	1	2,905
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1989	2	2,862
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1989	3	5,918
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1989	4	8,890
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1989	5	35,902
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1989	6	9,261
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1989	7	20,987
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1989	8	9,646
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1989	9	6,722
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1989	10	9,090
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1989	11	3,938
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1989	12	1,964
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1990	1	2,769
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1990	2	4,487
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1990	3	6,422
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1990	4	9,651
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1990	5	37,427
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1990	6	7,966
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1990	7	21,922
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1990	8	8,491
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1990	9	6,662
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1990	10	7,568
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1990	11	4,143
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1990	12	2,243
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1991	1	2,117
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1991	2	4,126
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1991	3	5,243
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1991	4	9,640
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1991	5	37,619
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1991	6	9,286
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1991	7	26,456
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1991	8	11,126
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1991	9	7,226
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1991	10	8,714
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1991	11	3,984
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1991	12	2,583
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1992	1	2,404
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1992	2	5,953
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1992	3	5,066
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1992	4	8,814
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1992	5	42,862
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1992	6	10,603
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1992	7	23,661
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1992	8	11,477
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1992	9	8,086
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1992	10	10,673
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1992	11	4,028
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1992	12	2,498
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1993	1	2,451
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1993	2	1,989
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1993	3	7,667
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1993	4	11,302
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1993	5	46,052
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1993	6	10,749
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1993	7	27,722
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1993	8	11,195
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1993	9	8,451
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1993	10	8,842
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1993	11	4,217
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1993	12	2,834
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1994	1	2,479
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1994	2	3,776
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1994	3	8,416
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1994	4	11,306
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1994	5	57,323
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1994	6	9,909
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1994	7	28,134
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1994	8	10,672
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1994	9	8,107
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1994	10	16,243
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1994	11	4,848
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1994	12	4,109
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1995	1	3,228
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1995	2	3,759
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1995	3	7,392
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1995	4	11,118
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1995	5	44,946
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1995	6	8,963
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1995	7	21,238
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1995	8	8,982
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1995	9	7,872
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1995	10	8,386
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1995	11	3,588
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1995	12	1,865
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1996	1	1,981
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1996	2	3,241
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1996	3	5,547
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1996	4	9,334
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1996	5	46,888
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1996	6	9,411
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1996	7	23,904
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1996	8	10,782
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1996	9	8,011
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1996	10	8,494
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1996	11	4,192
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1996	12	3,347
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1997	1	3,443
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1997	2	3,280
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1997	3	6,078
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1997	4	9,430
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1997	5	47,582
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1997	6	67,474
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1997	7	24,363
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1997	8	9,054
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1997	9	7,318
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1997	10	8,838
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1997	11	4,290
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1997	12	3,142
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1998	1	2,503
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1998	2	4,021
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1998	3	6,146
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1998	4	11,784
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1998	5	50,006
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1998	6	9,230
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1998	7	24,120
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1998	8	10,282
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1998	9	7,224
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1998	10	10,234
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1998	11	4,248
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1998	12	3,294
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1999	1	1,987
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1999	2	3,891
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1999	3	5,149
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1999	4	8,931
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1999	5	54,522
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1999	6	7,811
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1999	7	29,862
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1999	8	9,138
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1999	9	7,291
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1999	10	10,640
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1999	11	4,479
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	1999	12	2,712
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	2000	1	2,220
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	2000	2	3,574
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	2000	3	6,616
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	2000	4	9,272
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	2000	5	48,061
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	2000	6	7,930
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	2000	7	26,397
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	2000	8	7,645
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	2000	9	6,533
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	2000	10	9,386
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	2000	11	4,451
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	2000	12	2,156
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	2001	1	2,012
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	2001	2	3,025
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	2001	3	5,363
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	2001	4	8,942
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	2001	5	50,123
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	2001	6	7,130
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	2001	7	23,354
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	2001	8	6,917
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	2001	9	6,061
George Rogers Clark NHP	GERO	National Historical Park	Midwest 	IN	2001	10	7,134
