Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1979	1	113,859
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1979	2	130,323
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1979	3	346,027
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1979	4	492,467
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1979	5	554,393
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1979	6	414,197
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1979	7	591,688
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1979	8	795,207
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1979	9	362,837
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1979	10	377,663
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1979	11	292,401
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1979	12	206,916
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1980	1	161,076
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1980	2	200,383
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1980	3	595,111
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1980	4	588,048
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1980	5	598,513
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1980	6	659,125
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1980	7	1,006,381
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1980	8	722,146
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1980	9	609,532
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1980	10	404,629
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1980	11	429,900
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1980	12	291,277
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1981	1	336,611
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1981	2	489,391
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1981	3	614,892
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1981	4	848,715
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1981	5	1,119,556
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1981	6	1,009,724
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1981	7	829,386
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1981	8	1,085,749
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1981	9	662,718
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1981	10	668,051
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1981	11	409,968
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1981	12	481,144
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1982	1	231,031
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1982	2	397,152
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1982	3	1,112,229
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1982	4	1,015,417
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1982	5	950,608
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1982	6	1,058,782
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1982	7	1,079,740
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1982	8	930,841
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1982	9	825,457
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1982	10	729,493
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1982	11	512,463
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1982	12	373,228
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1983	1	292,864
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1983	2	372,057
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1983	3	567,665
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1983	4	905,793
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1983	5	917,903
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1983	6	1,123,615
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1983	7	1,151,410
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1983	8	942,840
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1983	9	822,320
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1983	10	559,219
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1983	11	557,110
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1983	12	356,783
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1984	1	225,500
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1984	2	397,370
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1984	3	485,115
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1984	4	883,338
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1984	5	1,020,835
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1984	6	955,698
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1984	7	1,001,915
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1984	8	1,010,176
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1984	9	676,262
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1984	10	683,505
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1984	11	543,584
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1984	12	362,708
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1985	1	290,994
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1985	2	442,914
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1985	3	686,121
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1985	4	1,170,509
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1985	5	1,096,198
George Washington MEM PKWY	GWMP	National Parkway	National Capital 	VA	1985	6	865,719
