Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1979	1	3,098
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1979	2	2,635
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1979	3	10,860
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1979	4	12,978
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1979	5	16,390
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1979	6	14,437
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1979	7	16,172
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1979	8	15,418
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1979	9	12,549
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1979	10	7,008
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1979	11	7,610
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1979	12	3,424
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1980	1	2,662
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1980	2	3,491
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1980	3	5,682
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1980	4	9,425
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1980	5	14,813
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1980	6	15,320
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1980	7	17,864
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1980	8	16,169
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1980	9	9,766
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1980	10	9,674
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1980	11	6,716
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1980	12	2,565
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1981	1	2,784
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1981	2	4,182
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1981	3	6,626
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1981	4	11,043
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1981	5	16,823
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1981	6	16,157
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1981	7	17,988
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1981	8	16,824
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1981	9	9,964
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1981	10	10,011
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1981	11	17,842
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1981	12	3,047
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1982	1	2,265
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1982	2	5,468
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1982	3	5,988
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1982	4	13,184
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1982	5	16,132
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1982	6	15,418
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1982	7	18,313
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1982	8	17,099
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1982	9	12,666
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1982	10	11,877
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1982	11	8,308
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1982	12	4,283
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1983	1	5,095
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1983	2	5,528
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1983	3	7,355
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1983	4	11,528
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1983	5	18,494
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1983	6	16,981
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1983	7	19,440
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1983	8	16,573
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1983	9	12,890
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1983	10	12,176
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1983	11	7,274
George Washington Birthplace NM	GEWA	National Monument	Northeast 	VA	1983	12	3,374
