Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1979	1	357
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1979	2	1,219
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1979	3	2,385
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1979	4	4,219
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1979	5	7,827
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1979	6	6,507
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1979	7	6,461
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1979	8	6,146
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1979	9	5,474
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1979	10	4,907
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1979	11	2,270
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1979	12	1,340
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1980	1	1,107
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1980	2	1,064
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1980	3	2,351
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1980	4	4,815
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1980	5	9,626
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1980	6	8,842
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1980	7	8,427
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1980	8	9,359
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1980	9	4,469
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1980	10	5,656
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1980	11	2,627
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1980	12	1,085
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1981	1	1,217
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1981	2	1,464
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1981	3	2,599
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1981	4	4,666
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1981	5	8,477
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1981	6	6,146
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1981	7	7,496
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1981	8	7,882
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1981	9	5,012
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1981	10	5,277
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1981	11	2,681
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1981	12	2,233
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1982	1	1,869
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1982	2	2,207
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1982	3	3,311
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1982	4	5,544
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1982	5	9,255
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1982	6	8,537
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1982	7	9,523
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1982	8	8,637
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1982	9	6,761
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1982	10	7,036
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1982	11	3,582
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1982	12	2,291
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1983	1	2,307
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1983	2	3,439
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1983	3	4,120
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1983	4	6,026
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1983	5	11,227
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1983	6	9,712
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1983	7	9,899
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1983	8	9,501
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1983	9	6,306
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1983	10	8,669
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1983	11	5,322
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1983	12	2,674
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1984	1	2,954
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1984	2	3,461
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1984	3	4,257
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1984	4	6,069
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1984	5	11,278
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1984	6	10,282
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1984	7	9,920
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1984	8	9,274
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1984	9	6,437
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1984	10	8,828
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1984	11	5,660
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1984	12	3,608
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1985	1	3,010
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1985	2	3,539
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1985	3	3,720
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1985	4	11,184
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1985	5	16,744
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1985	6	18,497
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1985	7	23,844
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1985	8	18,349
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1985	9	13,971
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1985	10	11,295
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1985	11	7,100
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1985	12	5,864
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1986	1	3,512
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1986	2	3,805
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1986	3	9,027
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1986	4	12,003
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1986	5	15,560
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1986	6	18,451
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1986	7	26,978
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1986	8	18,446
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1986	9	14,616
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1986	10	13,347
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1986	11	7,322
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1986	12	5,614
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1987	1	3,513
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1987	2	4,488
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1987	3	9,075
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1987	4	12,139
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1987	5	15,587
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1987	6	18,516
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1987	7	27,151
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1987	8	12,448
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1987	9	8,881
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1987	10	7,209
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1987	11	1,036
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1987	12	501
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1988	1	332
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1988	2	803
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1988	3	2,199
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1988	4	3,041
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1988	5	6,063
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1988	6	5,015
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1988	7	2,736
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1988	8	3,286
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1988	9	4,330
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1988	10	4,053
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1988	11	1,005
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1988	12	665
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1989	1	670
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1989	2	705
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1989	3	3,021
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1989	4	5,056
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1989	5	10,735
George Washington Carver NM	GWCA	National Monument	Midwest 	MO	1989	6	8,024
