Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1979	1	9,249
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1979	2	16,720
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1979	3	60,868
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1979	4	100,041
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1979	5	126,396
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1979	6	126,441
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1979	7	137,242
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1979	8	145,297
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1979	9	99,981
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1979	10	110,136
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1979	11	43,051
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1979	12	18,613
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1980	1	15,793
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1980	2	18,517
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1980	3	42,963
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1980	4	103,802
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1980	5	137,885
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1980	6	149,953
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1980	7	180,291
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1980	8	171,627
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1980	9	94,584
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1980	10	121,793
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1980	11	43,622
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1980	12	15,534
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1981	1	14,248
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1981	2	21,233
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1981	3	39,465
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1981	4	111,047
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1981	5	155,728
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1981	6	153,196
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1981	7	196,357
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1981	8	193,834
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1981	9	139,935
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1981	10	127,657
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1981	11	45,511
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1981	12	41,436
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1982	1	10,838
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1982	2	19,327
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1982	3	38,573
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1982	4	100,985
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1982	5	152,941
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1982	6	149,741
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1982	7	191,250
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1982	8	198,383
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1982	9	110,309
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1982	10	116,825
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1982	11	43,931
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1982	12	18,038
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1983	1	16,027
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1983	2	19,807
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1983	3	53,610
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1983	4	110,716
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1983	5	139,394
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1983	6	156,671
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1983	7	206,867
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1983	8	177,873
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1983	9	114,145
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1983	10	139,812
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1983	11	49,263
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1983	12	14,764
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1984	1	15,072
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1984	2	25,871
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1984	3	41,070
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1984	4	120,303
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1984	5	166,438
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1984	6	157,287
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1984	7	207,294
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1984	8	177,835
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1984	9	102,501
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1984	10	128,437
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1984	11	48,784
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1984	12	21,334
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1985	1	16,756
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1985	2	26,104
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1985	3	54,112
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1985	4	107,507
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1985	5	165,222
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1985	6	158,645
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1985	7	203,121
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1985	8	179,418
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1985	9	130,263
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1985	10	155,810
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1985	11	104,871
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1985	12	19,301
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1986	1	31,453
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1986	2	14,889
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1986	3	66,440
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1986	4	130,852
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1986	5	200,603
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1986	6	180,398
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1986	7	208,450
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1986	8	198,630
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1986	9	114,673
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1986	10	140,965
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1986	11	54,387
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1986	12	21,421
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1987	1	18,251
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1987	2	23,453
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1987	3	57,586
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1987	4	156,982
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1987	5	168,931
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1987	6	170,852
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1987	7	203,729
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1987	8	186,994
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1987	9	116,473
Gettysburg NMP	GETT	National Military Park	Northeast 	PA	1987	10	150,395
