Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1979	1	128
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1979	2	191
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1979	3	1,772
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1979	4	2,582
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1979	5	2,559
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1979	6	5,985
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1979	7	5,739
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1979	8	5,986
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1979	9	3,110
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1979	10	1,771
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1979	11	1,571
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1979	12	539
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1980	1	922
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1980	2	790
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1980	3	1,382
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1980	4	2,272
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1980	5	3,327
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1980	6	4,743
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1980	7	6,315
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1980	8	5,411
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1980	9	3,138
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1980	10	2,443
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1980	11	1,140
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1980	12	851
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1981	1	1,667
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1981	2	1,382
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1981	3	1,842
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1981	4	3,176
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1981	5	4,088
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1981	6	4,692
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1981	7	6,152
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1981	8	5,600
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1981	9	3,097
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1981	10	2,049
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1981	11	1,440
Gila Cliff Dwellings NM	GICL	National Monument	Intermountain 	NM	1981	12	1,232
