Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1979	1	166
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1979	2	90
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1979	3	90
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1979	4	279
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1979	5	3,349
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1979	6	17,954
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1979	7	24,161
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1979	8	28,586
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1979	9	15,600
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1979	10	657
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1979	11	60
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1979	12	40
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1980	1	40
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1980	2	40
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1980	3	50
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1980	4	25
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1980	5	1,641
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1980	6	20,050
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1980	7	28,276
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1980	8	27,866
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1980	9	16,259
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1980	10	658
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1980	11	60
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1980	12	40
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1981	1	20
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1981	2	20
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1981	3	20
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1981	4	37
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1981	5	1,447
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1981	6	17,263
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1981	7	24,553
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1981	8	26,040
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1981	9	14,551
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1981	10	910
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1981	11	90
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1981	12	120
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1982	1	60
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1982	2	70
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1982	3	60
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1982	4	45
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1982	5	3,923
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1982	6	17,284
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1982	7	27,044
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1982	8	27,457
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1982	9	14,146
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1982	10	91
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1982	11	84
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1982	12	90
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1983	1	86
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1983	2	82
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1983	3	87
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1983	4	134
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1983	5	993
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1983	6	18,569
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1983	7	26,294
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1983	8	30,487
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1983	9	15,097
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1983	10	98
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1983	11	60
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1983	12	70
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1984	1	35
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1984	2	125
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1984	3	83
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1984	4	174
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1984	5	589
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1984	6	19,938
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1984	7	33,176
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1984	8	33,325
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1984	9	20,583
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1984	10	191
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1984	11	18
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1984	12	60
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1985	1	20
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1985	2	34
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1985	3	92
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1985	4	55
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1985	5	1,346
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1985	6	28,551
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1985	7	39,597
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1985	8	35,041
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1985	9	25,864
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1985	10	227
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1985	11	65
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1985	12	51
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1986	1	42
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1986	2	22
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1986	3	103
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1986	4	101
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1986	5	4,482
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1986	6	30,368
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1986	7	36,821
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1986	8	41,425
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1986	9	21,879
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1986	10	1,489
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1986	11	78
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1986	12	67
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1987	1	64
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1987	2	79
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1987	3	64
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1987	4	113
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1987	5	3,852
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1987	6	33,184
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1987	7	30,947
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1987	8	35,563
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1987	9	26,589
Glacier Bay NP & PRES	GLBA	National Park	Alaska	AK	1987	10	387
