Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Glacier NP	GLAC	National Park	Intermountain 	MT	1979	1	6,357
Glacier NP	GLAC	National Park	Intermountain 	MT	1979	2	3,480
Glacier NP	GLAC	National Park	Intermountain 	MT	1979	3	11,790
Glacier NP	GLAC	National Park	Intermountain 	MT	1979	4	15,000
Glacier NP	GLAC	National Park	Intermountain 	MT	1979	5	65,923
Glacier NP	GLAC	National Park	Intermountain 	MT	1979	6	235,210
Glacier NP	GLAC	National Park	Intermountain 	MT	1979	7	414,460
Glacier NP	GLAC	National Park	Intermountain 	MT	1979	8	404,303
Glacier NP	GLAC	National Park	Intermountain 	MT	1979	9	176,600
Glacier NP	GLAC	National Park	Intermountain 	MT	1979	10	75,265
Glacier NP	GLAC	National Park	Intermountain 	MT	1979	11	32,616
Glacier NP	GLAC	National Park	Intermountain 	MT	1979	12	5,082
Glacier NP	GLAC	National Park	Intermountain 	MT	1980	1	6,156
Glacier NP	GLAC	National Park	Intermountain 	MT	1980	2	6,156
Glacier NP	GLAC	National Park	Intermountain 	MT	1980	3	8,900
Glacier NP	GLAC	National Park	Intermountain 	MT	1980	4	21,109
Glacier NP	GLAC	National Park	Intermountain 	MT	1980	5	67,903
Glacier NP	GLAC	National Park	Intermountain 	MT	1980	6	237,851
Glacier NP	GLAC	National Park	Intermountain 	MT	1980	7	446,853
Glacier NP	GLAC	National Park	Intermountain 	MT	1980	8	423,107
Glacier NP	GLAC	National Park	Intermountain 	MT	1980	9	151,586
Glacier NP	GLAC	National Park	Intermountain 	MT	1980	10	78,063
Glacier NP	GLAC	National Park	Intermountain 	MT	1980	11	22,503
Glacier NP	GLAC	National Park	Intermountain 	MT	1980	12	4,391
Glacier NP	GLAC	National Park	Intermountain 	MT	1981	1	8,964
Glacier NP	GLAC	National Park	Intermountain 	MT	1981	2	8,278
Glacier NP	GLAC	National Park	Intermountain 	MT	1981	3	15,483
Glacier NP	GLAC	National Park	Intermountain 	MT	1981	4	26,804
Glacier NP	GLAC	National Park	Intermountain 	MT	1981	5	75,907
Glacier NP	GLAC	National Park	Intermountain 	MT	1981	6	260,397
Glacier NP	GLAC	National Park	Intermountain 	MT	1981	7	571,302
Glacier NP	GLAC	National Park	Intermountain 	MT	1981	8	510,227
Glacier NP	GLAC	National Park	Intermountain 	MT	1981	9	201,982
Glacier NP	GLAC	National Park	Intermountain 	MT	1981	10	61,304
Glacier NP	GLAC	National Park	Intermountain 	MT	1981	11	37,964
Glacier NP	GLAC	National Park	Intermountain 	MT	1981	12	7,911
Glacier NP	GLAC	National Park	Intermountain 	MT	1982	1	5,368
Glacier NP	GLAC	National Park	Intermountain 	MT	1982	2	5,463
Glacier NP	GLAC	National Park	Intermountain 	MT	1982	3	9,761
Glacier NP	GLAC	National Park	Intermountain 	MT	1982	4	20,038
Glacier NP	GLAC	National Park	Intermountain 	MT	1982	5	57,529
Glacier NP	GLAC	National Park	Intermountain 	MT	1982	6	237,560
Glacier NP	GLAC	National Park	Intermountain 	MT	1982	7	529,862
Glacier NP	GLAC	National Park	Intermountain 	MT	1982	8	513,554
Glacier NP	GLAC	National Park	Intermountain 	MT	1982	9	196,896
Glacier NP	GLAC	National Park	Intermountain 	MT	1982	10	65,203
Glacier NP	GLAC	National Park	Intermountain 	MT	1982	11	18,752
Glacier NP	GLAC	National Park	Intermountain 	MT	1982	12	6,128
Glacier NP	GLAC	National Park	Intermountain 	MT	1983	1	7,183
Glacier NP	GLAC	National Park	Intermountain 	MT	1983	2	7,178
Glacier NP	GLAC	National Park	Intermountain 	MT	1983	3	12,116
Glacier NP	GLAC	National Park	Intermountain 	MT	1983	4	26,414
Glacier NP	GLAC	National Park	Intermountain 	MT	1983	5	87,249
Glacier NP	GLAC	National Park	Intermountain 	MT	1983	6	310,923
Glacier NP	GLAC	National Park	Intermountain 	MT	1983	7	689,489
Glacier NP	GLAC	National Park	Intermountain 	MT	1983	8	673,399
Glacier NP	GLAC	National Park	Intermountain 	MT	1983	9	280,628
Glacier NP	GLAC	National Park	Intermountain 	MT	1983	10	63,185
Glacier NP	GLAC	National Park	Intermountain 	MT	1983	11	39,810
Glacier NP	GLAC	National Park	Intermountain 	MT	1983	12	6,273
Glacier NP	GLAC	National Park	Intermountain 	MT	1984	1	6,468
Glacier NP	GLAC	National Park	Intermountain 	MT	1984	2	9,255
Glacier NP	GLAC	National Park	Intermountain 	MT	1984	3	12,067
Glacier NP	GLAC	National Park	Intermountain 	MT	1984	4	31,817
Glacier NP	GLAC	National Park	Intermountain 	MT	1984	5	62,456
Glacier NP	GLAC	National Park	Intermountain 	MT	1984	6	321,531
Glacier NP	GLAC	National Park	Intermountain 	MT	1984	7	628,414
Glacier NP	GLAC	National Park	Intermountain 	MT	1984	8	545,651
Glacier NP	GLAC	National Park	Intermountain 	MT	1984	9	221,746
Glacier NP	GLAC	National Park	Intermountain 	MT	1984	10	70,526
Glacier NP	GLAC	National Park	Intermountain 	MT	1984	11	29,100
Glacier NP	GLAC	National Park	Intermountain 	MT	1984	12	7,672
Glacier NP	GLAC	National Park	Intermountain 	MT	1985	1	4,720
Glacier NP	GLAC	National Park	Intermountain 	MT	1985	2	5,587
Glacier NP	GLAC	National Park	Intermountain 	MT	1985	3	12,084
Glacier NP	GLAC	National Park	Intermountain 	MT	1985	4	36,976
Glacier NP	GLAC	National Park	Intermountain 	MT	1985	5	91,914
Glacier NP	GLAC	National Park	Intermountain 	MT	1985	6	296,523
Glacier NP	GLAC	National Park	Intermountain 	MT	1985	7	487,859
Glacier NP	GLAC	National Park	Intermountain 	MT	1985	8	423,209
Glacier NP	GLAC	National Park	Intermountain 	MT	1985	9	142,337
Glacier NP	GLAC	National Park	Intermountain 	MT	1985	10	61,381
Glacier NP	GLAC	National Park	Intermountain 	MT	1985	11	36,941
Glacier NP	GLAC	National Park	Intermountain 	MT	1985	12	3,480
Glacier NP	GLAC	National Park	Intermountain 	MT	1986	1	5,442
Glacier NP	GLAC	National Park	Intermountain 	MT	1986	2	3,725
Glacier NP	GLAC	National Park	Intermountain 	MT	1986	3	10,192
Glacier NP	GLAC	National Park	Intermountain 	MT	1986	4	26,049
Glacier NP	GLAC	National Park	Intermountain 	MT	1986	5	90,992
Glacier NP	GLAC	National Park	Intermountain 	MT	1986	6	270,600
Glacier NP	GLAC	National Park	Intermountain 	MT	1986	7	465,816
Glacier NP	GLAC	National Park	Intermountain 	MT	1986	8	459,919
Glacier NP	GLAC	National Park	Intermountain 	MT	1986	9	148,825
Glacier NP	GLAC	National Park	Intermountain 	MT	1986	10	71,771
Glacier NP	GLAC	National Park	Intermountain 	MT	1986	11	18,347
Glacier NP	GLAC	National Park	Intermountain 	MT	1986	12	7,473
Glacier NP	GLAC	National Park	Intermountain 	MT	1987	1	6,541
