Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1979	1	35,808
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1979	2	52,723
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1979	3	80,800
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1979	4	108,457
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1979	5	109,517
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1979	6	310,847
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1979	7	293,204
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1979	8	288,768
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1979	9	147,677
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1979	10	118,260
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1979	11	60,982
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1979	12	48,952
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1980	1	45,656
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1980	2	56,237
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1980	3	85,539
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1980	4	124,807
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1980	5	175,488
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1980	6	256,517
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1980	7	258,610
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1980	8	246,273
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1980	9	123,319
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1980	10	71,739
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1980	11	72,054
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1980	12	55,252
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1981	1	56,124
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1981	2	57,059
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1981	3	81,701
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1981	4	149,621
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1981	5	205,350
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1981	6	263,293
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1981	7	261,072
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1981	8	251,170
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1981	9	179,248
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1981	10	119,000
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1981	11	55,790
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1981	12	54,101
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1982	1	37,745
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1982	2	42,690
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1982	3	67,621
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1982	4	143,168
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1982	5	201,141
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1982	6	309,385
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1982	7	294,852
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1982	8	254,883
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1982	9	187,486
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1982	10	88,732
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1982	11	42,039
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1982	12	63,484
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1983	1	51,999
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1983	2	68,058
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1983	3	99,317
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1983	4	143,159
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1983	5	232,770
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1983	6	278,920
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1983	7	285,123
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1983	8	241,087
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1983	9	186,911
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1983	10	144,024
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1983	11	79,157
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1983	12	62,506
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1984	1	29,243
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1984	2	67,896
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1984	3	106,701
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1984	4	169,566
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1984	5	247,262
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1984	6	342,215
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1984	7	292,554
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1984	8	230,055
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1984	9	193,760
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1984	10	141,689
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1984	11	81,038
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1984	12	69,123
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1985	1	59,969
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1985	2	71,571
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1985	3	90,670
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1985	4	168,633
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1985	5	231,695
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1985	6	321,388
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1985	7	301,372
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1985	8	317,977
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1985	9	229,743
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1985	10	140,828
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1985	11	80,957
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1985	12	64,063
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1986	1	72,779
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1986	2	73,415
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1986	3	108,399
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1986	4	188,608
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1986	5	284,072
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1986	6	350,130
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1986	7	435,821
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1986	8	353,028
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1986	9	224,146
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1986	10	200,918
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1986	11	79,601
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1986	12	67,981
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1987	1	70,331
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1987	2	80,382
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1987	3	99,363
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1987	4	226,821
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1987	5	328,150
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1987	6	422,588
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1987	7	460,288
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1987	8	463,186
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1987	9	314,789
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1987	10	197,319
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1987	11	108,105
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1987	12	87,417
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1988	1	77,858
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1988	2	99,311
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1988	3	125,340
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1988	4	216,114
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1988	5	332,620
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1988	6	508,360
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1988	7	555,936
Glen Canyon NRA	GLCA	National Recreation Area	Intermountain 	UT	1988	8	778,675
