Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1979	1	529,802
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1979	2	805,332
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1979	3	1,163,146
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1979	4	866,836
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1979	5	1,044,645
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1979	6	1,137,845
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1979	7	1,201,874
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1979	8	1,200,030
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1979	9	1,035,038
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1979	10	874,597
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1979	11	765,823
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1979	12	696,159
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1980	1	1,009,310
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1980	2	1,048,930
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1980	3	1,094,436
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1980	4	1,276,658
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1980	5	1,549,423
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1980	6	1,736,887
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1980	7	2,595,773
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1980	8	1,917,277
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1980	9	2,060,709
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1980	10	1,850,484
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1980	11	1,075,557
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1980	12	1,206,329
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1981	1	1,067,346
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1981	2	1,155,238
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1981	3	1,304,302
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1981	4	1,364,366
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1981	5	1,691,042
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1981	6	2,416,359
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1981	7	2,296,376
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1981	8	2,469,125
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1981	9	2,492,918
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1981	10	1,534,950
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1981	11	1,310,247
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1981	12	1,177,520
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1982	1	1,324,163
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1982	2	1,312,297
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1982	3	1,400,209
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1982	4	1,816,131
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1982	5	1,939,585
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1982	6	1,993,261
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1982	7	2,324,124
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1982	8	2,317,151
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1982	9	1,598,361
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1982	10	1,230,142
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1982	11	1,384,466
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1982	12	1,257,499
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1983	1	1,218,631
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1983	2	1,022,888
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1983	3	1,273,427
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1983	4	1,499,164
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1983	5	1,700,522
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1983	6	2,686,294
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1983	7	1,730,789
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1983	8	1,746,359
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1983	9	1,699,660
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1983	10	1,285,890
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1983	11	983,043
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1983	12	757,884
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1984	1	1,030,439
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1984	2	1,063,706
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1984	3	1,222,122
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1984	4	1,303,760
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1984	5	1,332,716
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1984	6	1,464,281
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1984	7	1,945,851
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1984	8	1,925,716
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1984	9	1,923,758
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1984	10	1,535,673
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1984	11	1,001,118
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1984	12	982,566
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1985	1	1,125,982
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1985	2	1,220,659
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1985	3	1,138,352
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1985	4	1,476,035
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1985	5	1,502,803
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1985	6	1,787,375
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1985	7	1,943,866
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1985	8	2,027,928
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1985	9	2,077,624
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1985	10	1,717,146
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1985	11	1,224,964
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1985	12	1,112,631
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1986	1	1,258,252
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1986	2	1,266,006
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1986	3	1,276,579
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1986	4	1,357,779
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1986	5	2,116,045
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1986	6	2,151,600
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1986	7	2,735,997
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1986	8	2,779,350
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1986	9	2,249,520
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1986	10	1,840,318
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1986	11	1,417,895
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1986	12	1,133,027
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1987	1	1,199,474
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1987	2	1,227,791
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1987	3	1,242,682
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1987	4	1,992,370
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1987	5	2,423,636
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1987	6	2,143,065
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1987	7	2,386,270
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1987	8	2,594,571
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1987	9	2,044,208
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1987	10	1,921,977
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1987	11	1,383,160
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1987	12	1,207,972
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1988	1	1,006,170
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1988	2	1,405,548
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1988	3	1,480,117
Golden Gate NRA	GOGA	National Recreation Area	Pacific West 	CA	1988	4	1,773,231
