Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1979	1	634
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1979	2	934
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1979	3	1,578
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1979	4	2,499
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1979	5	8,754
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1979	6	5,621
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1979	7	7,390
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1979	8	9,848
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1979	9	4,911
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1979	10	2,454
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1979	11	1,055
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1979	12	979
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1980	1	676
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1980	2	937
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1980	3	1,324
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1980	4	3,128
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1980	5	7,009
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1980	6	6,379
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1980	7	7,127
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1980	8	9,834
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1980	9	3,982
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1980	10	2,056
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1980	11	1,188
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1980	12	947
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1981	1	828
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1981	2	979
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1981	3	1,863
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1981	4	3,180
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1981	5	8,586
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1981	6	6,799
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1981	7	7,709
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1981	8	10,642
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1981	9	3,334
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1981	10	1,956
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1981	11	1,306
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1981	12	985
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1982	1	517
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1982	2	1,202
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1982	3	1,484
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1982	4	3,035
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1982	5	9,188
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1982	6	6,107
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1982	7	7,049
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1982	8	8,902
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1982	9	3,339
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1982	10	2,391
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1982	11	1,267
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1982	12	682
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1983	1	783
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1983	2	1,146
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1983	3	1,863
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1983	4	2,309
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1983	5	8,863
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1983	6	5,698
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1983	7	7,995
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1983	8	13,434
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1983	9	4,161
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1983	10	2,167
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1983	11	832
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1983	12	320
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1984	1	298
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1984	2	479
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1984	3	1,260
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1984	4	2,581
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1984	5	7,152
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1984	6	4,736
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1984	7	5,500
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1984	8	5,805
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1984	9	3,120
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1984	10	1,753
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1984	11	1,009
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1984	12	400
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1985	1	405
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1985	2	600
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1985	3	1,864
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1985	4	4,715
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1985	5	9,832
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1985	6	6,356
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1985	7	7,939
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1985	8	7,914
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1985	9	3,529
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1985	10	2,083
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1985	11	663
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1985	12	487
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1986	1	557
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1986	2	834
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1986	3	4,395
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1986	4	3,076
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1986	5	9,696
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1986	6	6,870
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1986	7	10,916
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1986	8	11,865
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1986	9	4,460
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1986	10	2,580
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1986	11	1,485
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1986	12	913
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1987	1	797
Golden Spike NHP	GOSP	National Historical Park	Intermountain 	UT	1987	2	1,277
