Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Governors Island NM	GOIS	National Monument	Northeast 	NY	2003	7	482
Governors Island NM	GOIS	National Monument	Northeast 	NY	2003	8	990
Governors Island NM	GOIS	National Monument	Northeast 	NY	2003	9	1,035
Governors Island NM	GOIS	National Monument	Northeast 	NY	2003	10	0
Governors Island NM	GOIS	National Monument	Northeast 	NY	2003	11	0
Governors Island NM	GOIS	National Monument	Northeast 	NY	2003	12	0
Governors Island NM	GOIS	National Monument	Northeast 	NY	2004	1	0
Governors Island NM	GOIS	National Monument	Northeast 	NY	2004	2	0
Governors Island NM	GOIS	National Monument	Northeast 	NY	2004	3	102
Governors Island NM	GOIS	National Monument	Northeast 	NY	2004	4	149
Governors Island NM	GOIS	National Monument	Northeast 	NY	2004	5	234
Governors Island NM	GOIS	National Monument	Northeast 	NY	2004	6	1,725
Governors Island NM	GOIS	National Monument	Northeast 	NY	2004	7	3,396
Governors Island NM	GOIS	National Monument	Northeast 	NY	2004	8	2,212
Governors Island NM	GOIS	National Monument	Northeast 	NY	2004	9	2,364
Governors Island NM	GOIS	National Monument	Northeast 	NY	2004	10	826
Governors Island NM	GOIS	National Monument	Northeast 	NY	2004	11	198
Governors Island NM	GOIS	National Monument	Northeast 	NY	2004	12	106
Governors Island NM	GOIS	National Monument	Northeast 	NY	2005	1	0
Governors Island NM	GOIS	National Monument	Northeast 	NY	2005	2	60
Governors Island NM	GOIS	National Monument	Northeast 	NY	2005	3	81
Governors Island NM	GOIS	National Monument	Northeast 	NY	2005	4	152
Governors Island NM	GOIS	National Monument	Northeast 	NY	2005	5	2,234
Governors Island NM	GOIS	National Monument	Northeast 	NY	2005	6	1,353
Governors Island NM	GOIS	National Monument	Northeast 	NY	2005	7	3,163
Governors Island NM	GOIS	National Monument	Northeast 	NY	2005	8	2,489
Governors Island NM	GOIS	National Monument	Northeast 	NY	2005	9	1,041
Governors Island NM	GOIS	National Monument	Northeast 	NY	2005	10	732
Governors Island NM	GOIS	National Monument	Northeast 	NY	2005	11	124
Governors Island NM	GOIS	National Monument	Northeast 	NY	2005	12	130
Governors Island NM	GOIS	National Monument	Northeast 	NY	2006	1	139
Governors Island NM	GOIS	National Monument	Northeast 	NY	2006	2	93
Governors Island NM	GOIS	National Monument	Northeast 	NY	2006	3	133
Governors Island NM	GOIS	National Monument	Northeast 	NY	2006	4	216
Governors Island NM	GOIS	National Monument	Northeast 	NY	2006	5	2,809
Governors Island NM	GOIS	National Monument	Northeast 	NY	2006	6	4,009
Governors Island NM	GOIS	National Monument	Northeast 	NY	2006	7	10,859
