Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1979	1	37,002
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1979	2	46,043
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1979	3	91,927
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1979	4	123,643
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1979	5	205,048
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1979	6	297,877
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1979	7	338,935
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1979	8	350,694
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1979	9	294,206
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1979	10	187,335
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1979	11	98,410
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1979	12	60,596
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1980	1	55,634
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1980	2	40,800
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1980	3	111,283
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1980	4	135,657
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1980	5	300,940
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1980	6	231,093
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1980	7	382,961
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1980	8	379,099
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1980	9	264,391
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1980	10	194,043
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1980	11	119,440
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1980	12	89,632
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1981	1	87,337
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1981	2	88,570
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1981	3	119,264
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1981	4	205,490
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1981	5	244,709
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1981	6	364,113
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1981	7	398,756
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1981	8	378,831
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1981	9	247,606
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1981	10	185,318
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1981	11	83,734
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1981	12	68,542
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1982	1	44,969
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1982	2	58,210
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1982	3	106,235
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1982	4	167,891
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1982	5	212,009
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1982	6	372,127
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1982	7	369,983
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1982	8	364,548
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1982	9	254,192
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1982	10	188,615
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1982	11	90,586
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1982	12	63,762
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1983	1	49,146
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1983	2	65,862
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1983	3	118,768
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1983	4	141,134
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1983	5	233,043
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1983	6	364,817
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1983	7	400,961
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1983	8	305,589
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1983	9	226,922
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1983	10	181,782
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1983	11	94,483
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1983	12	65,575
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1984	1	60,598
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1984	2	72,688
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1984	3	123,699
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1984	4	169,412
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1984	5	249,813
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1984	6	332,759
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1984	7	369,741
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1984	8	260,758
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1984	9	220,356
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1984	10	148,330
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1984	11	104,114
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1984	12	61,316
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1985	1	54,330
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1985	2	66,986
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1985	3	143,335
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1985	4	217,613
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1985	5	295,024
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1985	6	391,629
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1985	7	411,347
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1985	8	366,036
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1985	9	304,431
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1985	10	240,488
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1985	11	114,023
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1985	12	106,287
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1986	1	75,573
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1986	2	94,361
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1986	3	201,642
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1986	4	215,037
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1986	5	318,732
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1986	6	407,145
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1986	7	456,542
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1986	8	437,652
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1986	9	312,678
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1986	10	247,244
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1986	11	151,811
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1986	12	117,370
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1987	1	94,561
Grand Canyon NP	GRCA	National Park	Intermountain 	AZ	1987	2	110,009
