Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1979	1	63
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1979	2	182
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1979	3	146
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1979	4	40
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1979	5	1,458
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1979	6	4,923
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1979	7	10,364
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1979	8	11,828
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1979	9	6,091
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1979	10	1,662
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1979	11	77
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1979	12	97
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1980	1	115
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1980	2	132
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1980	3	158
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1980	4	140
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1980	5	1,844
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1980	6	5,606
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1980	7	11,563
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1980	8	15,748
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1980	9	5,260
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1980	10	2,388
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1980	11	170
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1980	12	105
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1981	1	96
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1981	2	120
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1981	3	160
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1981	4	370
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1981	5	1,826
Grand Portage NM	GRPO	National Monument	Midwest 	MN	1981	6	4,903
