Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1979	1	46,131
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1979	2	24,585
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1979	3	32,175
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1979	4	38,696
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1979	5	134,499
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1979	6	384,945
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1979	7	608,613
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1979	8	667,299
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1979	9	305,194
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1979	10	123,444
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1979	11	46,685
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1979	12	33,905
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1980	1	15,804
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1980	2	31,020
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1980	3	34,943
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1980	4	29,195
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1980	5	136,336
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1980	6	395,897
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1980	7	635,656
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1980	8	777,149
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1980	9	309,929
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1980	10	95,773
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1980	11	43,950
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1980	12	49,975
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1981	1	18,959
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1981	2	31,878
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1981	3	25,886
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1981	4	26,846
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1981	5	176,726
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1981	6	451,018
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1981	7	674,566
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1981	8	699,874
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1981	9	357,057
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1981	10	106,157
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1981	11	52,768
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1981	12	21,909
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1982	1	15,098
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1982	2	26,809
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1982	3	20,773
Grand Teton NP	GRTE	National Park	Intermountain 	WY	1982	4	19,308
