Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1979	1	95
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1979	2	144
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1979	3	520
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1979	4	769
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1979	5	2,789
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1979	6	3,343
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1979	7	4,997
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1979	8	4,362
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1979	9	2,457
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1979	10	1,237
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1979	11	326
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1979	12	286
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1980	1	85
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1980	2	319
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1980	3	565
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1980	4	653
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1980	5	1,604
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1980	6	3,042
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1980	7	4,882
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1980	8	4,717
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1980	9	2,079
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1980	10	851
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1980	11	448
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1980	12	204
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1981	1	314
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1981	2	204
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1981	3	651
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1981	4	935
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1981	5	1,546
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1981	6	3,987
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1981	7	6,395
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1981	8	5,027
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1981	9	2,805
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1981	10	1,021
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1981	11	399
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1981	12	275
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1982	1	258
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1982	2	332
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1982	3	472
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1982	4	707
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1982	5	2,284
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1982	6	5,154
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1982	7	7,785
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1982	8	6,278
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1982	9	2,863
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1982	10	1,009
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1982	11	347
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1982	12	301
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1983	1	300
Grant-Kohrs Ranch NHS	GRKO	National Historic Site	Intermountain 	MT	1983	2	532
