Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Great Basin NP	GRBA	National Park	Pacific West 	NV	1979	1	172
Great Basin NP	GRBA	National Park	Pacific West 	NV	1979	2	277
Great Basin NP	GRBA	National Park	Pacific West 	NV	1979	3	825
Great Basin NP	GRBA	National Park	Pacific West 	NV	1979	4	2,403
Great Basin NP	GRBA	National Park	Pacific West 	NV	1979	5	3,654
Great Basin NP	GRBA	National Park	Pacific West 	NV	1979	6	5,051
Great Basin NP	GRBA	National Park	Pacific West 	NV	1979	7	6,054
Great Basin NP	GRBA	National Park	Pacific West 	NV	1979	8	5,495
Great Basin NP	GRBA	National Park	Pacific West 	NV	1979	9	3,553
Great Basin NP	GRBA	National Park	Pacific West 	NV	1979	10	1,686
Great Basin NP	GRBA	National Park	Pacific West 	NV	1979	11	543
Great Basin NP	GRBA	National Park	Pacific West 	NV	1979	12	234
Great Basin NP	GRBA	National Park	Pacific West 	NV	1980	1	266
Great Basin NP	GRBA	National Park	Pacific West 	NV	1980	2	501
Great Basin NP	GRBA	National Park	Pacific West 	NV	1980	3	521
Great Basin NP	GRBA	National Park	Pacific West 	NV	1980	4	1,808
Great Basin NP	GRBA	National Park	Pacific West 	NV	1980	5	3,730
Great Basin NP	GRBA	National Park	Pacific West 	NV	1980	6	5,479
Great Basin NP	GRBA	National Park	Pacific West 	NV	1980	7	7,131
Great Basin NP	GRBA	National Park	Pacific West 	NV	1980	8	7,474
Great Basin NP	GRBA	National Park	Pacific West 	NV	1980	9	2,959
Great Basin NP	GRBA	National Park	Pacific West 	NV	1980	10	2,335
Great Basin NP	GRBA	National Park	Pacific West 	NV	1980	11	755
Great Basin NP	GRBA	National Park	Pacific West 	NV	1980	12	424
Great Basin NP	GRBA	National Park	Pacific West 	NV	1981	1	432
Great Basin NP	GRBA	National Park	Pacific West 	NV	1981	2	384
Great Basin NP	GRBA	National Park	Pacific West 	NV	1981	3	685
Great Basin NP	GRBA	National Park	Pacific West 	NV	1981	4	3,057
Great Basin NP	GRBA	National Park	Pacific West 	NV	1981	5	3,601
Great Basin NP	GRBA	National Park	Pacific West 	NV	1981	6	5,579
Great Basin NP	GRBA	National Park	Pacific West 	NV	1981	7	7,179
