Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1979	1	1,696
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1979	2	2,054
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1979	3	3,261
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1979	4	7,848
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1979	5	15,791
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1979	6	30,219
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1979	7	33,439
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1979	8	45,930
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1979	9	12,819
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1979	10	7,192
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1979	11	1,231
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1979	12	1,066
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1980	1	1,479
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1980	2	1,367
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1980	3	1,721
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1980	4	3,410
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1980	5	14,493
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1980	6	25,547
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1980	7	32,085
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1980	8	30,327
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1980	9	15,925
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1980	10	9,368
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1980	11	3,450
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1980	12	3,255
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1981	1	3,540
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1981	2	3,137
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1981	3	4,796
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1981	4	8,417
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1981	5	18,309
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1981	6	24,109
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1981	7	36,137
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1981	8	35,796
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1981	9	20,262
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1981	10	10,255
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1981	11	4,703
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1981	12	3,044
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1982	1	2,176
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1982	2	2,601
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1982	3	5,636
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1982	4	7,958
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1982	5	21,412
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1982	6	31,143
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1982	7	35,644
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1982	8	33,226
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1982	9	19,673
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1982	10	9,564
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1982	11	3,844
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1982	12	2,396
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1983	1	2,604
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1983	2	2,818
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1983	3	5,251
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1983	4	6,138
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1983	5	15,981
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1983	6	25,662
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1983	7	32,897
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1983	8	27,816
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1983	9	16,728
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1983	10	9,099
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1983	11	3,385
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1983	12	1,798
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1984	1	1,981
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1984	2	2,142
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1984	3	3,460
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1984	4	5,217
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1984	5	16,597
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1984	6	23,944
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1984	7	28,880
Great Sand Dunes NP & PRES	GRSA	National Park	Intermountain 	CO	1984	8	29,211
