Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1979	1	130,261
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1979	2	160,764
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1979	3	309,163
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1979	4	650,485
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1979	5	666,017
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1979	6	994,065
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1979	7	1,324,322
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1979	8	1,274,155
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1979	9	779,102
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1979	10	1,114,291
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1979	11	377,640
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1979	12	239,523
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1980	1	207,662
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1980	2	192,198
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1980	3	259,715
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1980	4	553,448
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1980	5	715,996
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1980	6	1,105,867
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1980	7	1,439,447
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1980	8	1,410,230
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1980	9	802,476
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1980	10	1,075,611
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1980	11	447,716
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1980	12	230,587
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1981	1	195,467
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1981	2	200,825
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1981	3	270,349
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1981	4	605,239
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1981	5	736,726
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1981	6	1,079,198
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1981	7	1,378,610
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1981	8	1,367,634
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1981	9	813,246
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1981	10	1,107,413
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1981	11	357,166
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1981	12	201,011
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1982	1	136,548
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1982	2	182,549
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1982	3	239,607
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1982	4	519,507
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1982	5	861,200
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1982	6	1,079,651
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1982	7	1,317,822
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1982	8	1,186,826
Great Smoky Mountains NP	GRSM	National Park	Southeast 	TN	1982	9	885,909
