Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1979	1	2,171
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1979	2	2,300
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1979	3	30,771
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1979	4	36,768
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1979	5	25,772
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1979	6	23,970
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1979	7	50,513
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1979	8	17,599
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1979	9	24,040
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1979	10	15,185
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1979	11	13,335
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1979	12	8,171
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1980	1	4,477
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1980	2	10,576
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1980	3	10,813
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1980	4	87,737
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1980	5	35,451
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1980	6	14,450
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1980	7	34,723
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1980	8	28,828
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1980	9	21,300
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1980	10	11,349
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1980	11	16,579
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1980	12	7,082
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1981	1	5,102
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1981	2	21,007
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1981	3	12,053
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1981	4	26,416
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1981	5	33,948
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1981	6	18,441
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1981	7	20,868
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1981	8	29,629
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1981	9	27,069
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1981	10	21,982
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1981	11	9,331
Greenbelt Park	GREE	Park (Other)	National Capital 	MD	1981	12	5,786
