Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1979	1	3,282
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1979	2	4,839
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1979	3	10,065
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1979	4	9,951
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1979	5	9,751
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1979	6	11,641
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1979	7	11,637
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1979	8	14,704
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1979	9	8,480
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1979	10	9,626
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1979	11	10,529
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1979	12	5,973
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1980	1	4,361
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1980	2	5,123
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1980	3	12,870
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1980	4	10,283
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1980	5	10,947
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1980	6	12,446
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1980	7	8,680
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1980	8	11,025
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1980	9	8,932
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1980	10	10,743
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1980	11	10,771
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1980	12	7,644
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1981	1	6,735
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1981	2	6,820
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1981	3	11,178
Guadalupe Mountains NP	GUMO	National Park	Intermountain 	TX	1981	4	13,298
