Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1979	1	6,653
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1979	2	5,372
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1979	3	18,023
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1979	4	14,622
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1979	5	25,047
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1979	6	14,295
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1979	7	17,713
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1979	8	15,912
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1979	9	11,509
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1979	10	13,920
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1979	11	10,272
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1979	12	8,147
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1980	1	9,016
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1980	2	8,471
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1980	3	14,442
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1980	4	12,480
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1980	5	17,820
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1980	6	18,035
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1980	7	17,764
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1980	8	12,022
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1980	9	10,982
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1980	10	14,482
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1980	11	12,721
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1980	12	8,519
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1981	1	8,536
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1981	2	10,182
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1981	3	19,256
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1981	4	20,711
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1981	5	27,601
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1981	6	21,467
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1981	7	22,934
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1981	8	23,513
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1981	9	23,162
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1981	10	18,757
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1981	11	16,234
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1981	12	8,591
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1982	1	6,327
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1982	2	15,752
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1982	3	19,334
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1982	4	25,455
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1982	5	28,608
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1982	6	21,120
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1982	7	27,099
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1982	8	21,827
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1982	9	20,889
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1982	10	16,065
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1982	11	9,692
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1982	12	7,372
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1983	1	6,369
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1983	2	7,990
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1983	3	22,083
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1983	4	13,058
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1983	5	15,449
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1983	6	14,998
Guilford Courthouse NMP	GUCO	National Military Park	Southeast 	NC	1983	7	14,973
