Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1979	1	107,053
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1979	2	126,836
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1979	3	260,175
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1979	4	465,468
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1979	5	510,992
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1979	6	484,231
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1979	7	365,821
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1979	8	323,343
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1979	9	125,092
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1979	10	48,089
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1979	11	58,590
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1979	12	89,351
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1980	1	93,456
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1980	2	73,054
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1980	3	151,333
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1980	4	223,607
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1980	5	336,810
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1980	6	344,275
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1980	7	340,492
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1980	8	288,014
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1980	9	224,970
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1980	10	181,125
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1980	11	146,395
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1980	12	103,976
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1981	1	120,400
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1981	2	141,980
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1981	3	316,967
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1981	4	360,457
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1981	5	370,296
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1981	6	449,989
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1981	7	411,841
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1981	8	382,978
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1981	9	272,796
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1981	10	185,753
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1981	11	180,832
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1981	12	122,188
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1982	1	120,896
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1982	2	155,152
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1982	3	373,448
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1982	4	351,779
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1982	5	455,226
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1982	6	456,480
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1982	7	471,533
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1982	8	418,382
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1982	9	233,290
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1982	10	193,659
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1982	11	154,825
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1982	12	122,768
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1983	1	129,725
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1983	2	159,194
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1983	3	334,598
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1983	4	390,754
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1983	5	490,498
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1983	6	475,672
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1983	7	512,119
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1983	8	474,253
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1983	9	427,854
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1983	10	292,977
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1983	11	207,143
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1983	12	165,599
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1984	1	186,448
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1984	2	216,218
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1984	3	397,204
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1984	4	598,930
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1984	5	554,232
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1984	6	770,732
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1984	7	706,771
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1984	8	606,969
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1984	9	611,356
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1984	10	478,350
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1984	11	388,260
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1984	12	287,914
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1985	1	205,304
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1985	2	298,355
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1985	3	683,911
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1985	4	912,910
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1985	5	1,310,093
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1985	6	1,239,315
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1985	7	1,447,430
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1985	8	1,580,679
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1985	9	1,095,330
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1985	10	593,440
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1985	11	250,644
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1985	12	263,403
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1986	1	246,210
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1986	2	308,948
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1986	3	691,929
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1986	4	895,716
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1986	5	1,045,972
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1986	6	1,067,524
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1986	7	1,045,863
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1986	8	893,432
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1986	9	729,654
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1986	10	269,327
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1986	11	240,025
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1986	12	211,601
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1987	1	240,893
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1987	2	224,687
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1987	3	338,666
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1987	4	422,016
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1987	5	500,459
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1987	6	597,423
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1987	7	646,426
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1987	8	555,558
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1987	9	432,902
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1987	10	345,040
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1987	11	295,760
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1987	12	227,062
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1988	1	233,859
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1988	2	242,842
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1988	3	407,272
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1988	4	514,486
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1988	5	631,106
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1988	6	720,934
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1988	7	715,499
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1988	8	470,566
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1988	9	412,854
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1988	10	349,492
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1988	11	279,713
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1988	12	219,276
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1989	1	241,273
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1989	2	217,592
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1989	3	314,136
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1989	4	389,202
Gulf Islands NS	GUIS	National Seashore	Southeast 	FL	1989	5	453,848
