Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1995	1	326
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1995	2	364
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1995	3	403
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1995	4	658
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1995	5	3,541
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1995	6	1,951
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1995	7	2,359
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1995	8	1,554
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1995	9	1,278
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1995	10	170
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1995	11	201
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1995	12	3
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1996	1	64
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1996	2	251
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1996	3	523
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1996	4	454
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1996	5	2,104
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1996	6	1,993
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1996	7	2,160
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1996	8	1,665
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1996	9	1,605
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1996	10	691
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1996	11	224
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1996	12	59
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1997	1	150
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1997	2	425
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1997	3	568
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1997	4	388
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1997	5	1,660
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1997	6	2,399
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1997	7	2,346
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1997	8	2,351
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1997	9	786
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1997	10	503
Hagerman Fossil Beds NM	HAFO	National Monument	Pacific West 	ID	1997	11	211
