Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Haleakala NP	HALE	National Park	Pacific West 	HI	1979	1	57,239
Haleakala NP	HALE	National Park	Pacific West 	HI	1979	2	29,985
Haleakala NP	HALE	National Park	Pacific West 	HI	1979	3	71,282
Haleakala NP	HALE	National Park	Pacific West 	HI	1979	4	54,569
Haleakala NP	HALE	National Park	Pacific West 	HI	1979	5	52,282
Haleakala NP	HALE	National Park	Pacific West 	HI	1979	6	48,272
Haleakala NP	HALE	National Park	Pacific West 	HI	1979	7	68,685
Haleakala NP	HALE	National Park	Pacific West 	HI	1979	8	85,893
Haleakala NP	HALE	National Park	Pacific West 	HI	1979	9	61,727
Haleakala NP	HALE	National Park	Pacific West 	HI	1979	10	58,026
Haleakala NP	HALE	National Park	Pacific West 	HI	1979	11	46,150
Haleakala NP	HALE	National Park	Pacific West 	HI	1979	12	39,845
Haleakala NP	HALE	National Park	Pacific West 	HI	1980	1	38,044
Haleakala NP	HALE	National Park	Pacific West 	HI	1980	2	51,284
Haleakala NP	HALE	National Park	Pacific West 	HI	1980	3	49,527
Haleakala NP	HALE	National Park	Pacific West 	HI	1980	4	47,683
Haleakala NP	HALE	National Park	Pacific West 	HI	1980	5	56,408
Haleakala NP	HALE	National Park	Pacific West 	HI	1980	6	54,100
Haleakala NP	HALE	National Park	Pacific West 	HI	1980	7	59,175
Haleakala NP	HALE	National Park	Pacific West 	HI	1980	8	61,214
Haleakala NP	HALE	National Park	Pacific West 	HI	1980	9	31,100
Haleakala NP	HALE	National Park	Pacific West 	HI	1980	10	37,906
Haleakala NP	HALE	National Park	Pacific West 	HI	1980	11	36,897
Haleakala NP	HALE	National Park	Pacific West 	HI	1980	12	36,900
Haleakala NP	HALE	National Park	Pacific West 	HI	1981	1	41,335
Haleakala NP	HALE	National Park	Pacific West 	HI	1981	2	42,927
Haleakala NP	HALE	National Park	Pacific West 	HI	1981	3	47,694
Haleakala NP	HALE	National Park	Pacific West 	HI	1981	4	50,173
Haleakala NP	HALE	National Park	Pacific West 	HI	1981	5	56,115
Haleakala NP	HALE	National Park	Pacific West 	HI	1981	6	57,790
Haleakala NP	HALE	National Park	Pacific West 	HI	1981	7	64,074
Haleakala NP	HALE	National Park	Pacific West 	HI	1981	8	73,143
Haleakala NP	HALE	National Park	Pacific West 	HI	1981	9	47,048
Haleakala NP	HALE	National Park	Pacific West 	HI	1981	10	37,515
Haleakala NP	HALE	National Park	Pacific West 	HI	1981	11	55,807
Haleakala NP	HALE	National Park	Pacific West 	HI	1981	12	58,063
Haleakala NP	HALE	National Park	Pacific West 	HI	1982	1	43,613
Haleakala NP	HALE	National Park	Pacific West 	HI	1982	2	53,955
Haleakala NP	HALE	National Park	Pacific West 	HI	1982	3	58,429
Haleakala NP	HALE	National Park	Pacific West 	HI	1982	4	55,175
Haleakala NP	HALE	National Park	Pacific West 	HI	1982	5	67,328
Haleakala NP	HALE	National Park	Pacific West 	HI	1982	6	68,269
Haleakala NP	HALE	National Park	Pacific West 	HI	1982	7	73,835
Haleakala NP	HALE	National Park	Pacific West 	HI	1982	8	84,445
Haleakala NP	HALE	National Park	Pacific West 	HI	1982	9	67,180
Haleakala NP	HALE	National Park	Pacific West 	HI	1982	10	70,718
Haleakala NP	HALE	National Park	Pacific West 	HI	1982	11	67,665
Haleakala NP	HALE	National Park	Pacific West 	HI	1982	12	61,150
Haleakala NP	HALE	National Park	Pacific West 	HI	1983	1	52,328
Haleakala NP	HALE	National Park	Pacific West 	HI	1983	2	63,552
Haleakala NP	HALE	National Park	Pacific West 	HI	1983	3	38,656
Haleakala NP	HALE	National Park	Pacific West 	HI	1983	4	59,610
Haleakala NP	HALE	National Park	Pacific West 	HI	1983	5	76,969
Haleakala NP	HALE	National Park	Pacific West 	HI	1983	6	93,656
Haleakala NP	HALE	National Park	Pacific West 	HI	1983	7	111,059
Haleakala NP	HALE	National Park	Pacific West 	HI	1983	8	100,722
Haleakala NP	HALE	National Park	Pacific West 	HI	1983	9	70,601
Haleakala NP	HALE	National Park	Pacific West 	HI	1983	10	69,596
Haleakala NP	HALE	National Park	Pacific West 	HI	1983	11	75,102
Haleakala NP	HALE	National Park	Pacific West 	HI	1983	12	52,438
Haleakala NP	HALE	National Park	Pacific West 	HI	1984	1	59,182
Haleakala NP	HALE	National Park	Pacific West 	HI	1984	2	68,515
Haleakala NP	HALE	National Park	Pacific West 	HI	1984	3	100,992
Haleakala NP	HALE	National Park	Pacific West 	HI	1984	4	86,556
Haleakala NP	HALE	National Park	Pacific West 	HI	1984	5	81,038
Haleakala NP	HALE	National Park	Pacific West 	HI	1984	6	100,806
Haleakala NP	HALE	National Park	Pacific West 	HI	1984	7	112,485
Haleakala NP	HALE	National Park	Pacific West 	HI	1984	8	61,889
Haleakala NP	HALE	National Park	Pacific West 	HI	1984	9	71,301
Haleakala NP	HALE	National Park	Pacific West 	HI	1984	10	92,161
Haleakala NP	HALE	National Park	Pacific West 	HI	1984	11	91,157
Haleakala NP	HALE	National Park	Pacific West 	HI	1984	12	77,739
Haleakala NP	HALE	National Park	Pacific West 	HI	1985	1	90,026
Haleakala NP	HALE	National Park	Pacific West 	HI	1985	2	69,576
Haleakala NP	HALE	National Park	Pacific West 	HI	1985	3	89,325
Haleakala NP	HALE	National Park	Pacific West 	HI	1985	4	112,942
Haleakala NP	HALE	National Park	Pacific West 	HI	1985	5	87,405
Haleakala NP	HALE	National Park	Pacific West 	HI	1985	6	95,240
Haleakala NP	HALE	National Park	Pacific West 	HI	1985	7	125,150
Haleakala NP	HALE	National Park	Pacific West 	HI	1985	8	133,429
Haleakala NP	HALE	National Park	Pacific West 	HI	1985	9	100,346
Haleakala NP	HALE	National Park	Pacific West 	HI	1985	10	94,684
Haleakala NP	HALE	National Park	Pacific West 	HI	1985	11	95,298
Haleakala NP	HALE	National Park	Pacific West 	HI	1985	12	101,230
Haleakala NP	HALE	National Park	Pacific West 	HI	1986	1	88,925
Haleakala NP	HALE	National Park	Pacific West 	HI	1986	2	89,561
Haleakala NP	HALE	National Park	Pacific West 	HI	1986	3	98,822
Haleakala NP	HALE	National Park	Pacific West 	HI	1986	4	114,062
Haleakala NP	HALE	National Park	Pacific West 	HI	1986	5	102,182
Haleakala NP	HALE	National Park	Pacific West 	HI	1986	6	110,812
Haleakala NP	HALE	National Park	Pacific West 	HI	1986	7	101,595
Haleakala NP	HALE	National Park	Pacific West 	HI	1986	8	152,720
Haleakala NP	HALE	National Park	Pacific West 	HI	1986	9	120,777
Haleakala NP	HALE	National Park	Pacific West 	HI	1986	10	116,271
Haleakala NP	HALE	National Park	Pacific West 	HI	1986	11	99,684
Haleakala NP	HALE	National Park	Pacific West 	HI	1986	12	85,808
Haleakala NP	HALE	National Park	Pacific West 	HI	1987	1	104,251
Haleakala NP	HALE	National Park	Pacific West 	HI	1987	2	88,059
Haleakala NP	HALE	National Park	Pacific West 	HI	1987	3	98,194
Haleakala NP	HALE	National Park	Pacific West 	HI	1987	4	82,539
Haleakala NP	HALE	National Park	Pacific West 	HI	1987	5	97,862
Haleakala NP	HALE	National Park	Pacific West 	HI	1987	6	112,891
Haleakala NP	HALE	National Park	Pacific West 	HI	1987	7	169,025
Haleakala NP	HALE	National Park	Pacific West 	HI	1987	8	145,198
Haleakala NP	HALE	National Park	Pacific West 	HI	1987	9	116,892
Haleakala NP	HALE	National Park	Pacific West 	HI	1987	10	125,045
Haleakala NP	HALE	National Park	Pacific West 	HI	1987	11	104,298
Haleakala NP	HALE	National Park	Pacific West 	HI	1987	12	89,646
Haleakala NP	HALE	National Park	Pacific West 	HI	1988	1	86,879
Haleakala NP	HALE	National Park	Pacific West 	HI	1988	2	88,159
Haleakala NP	HALE	National Park	Pacific West 	HI	1988	3	118,779
Haleakala NP	HALE	National Park	Pacific West 	HI	1988	4	98,683
Haleakala NP	HALE	National Park	Pacific West 	HI	1988	5	111,509
Haleakala NP	HALE	National Park	Pacific West 	HI	1988	6	106,235
Haleakala NP	HALE	National Park	Pacific West 	HI	1988	7	144,168
Haleakala NP	HALE	National Park	Pacific West 	HI	1988	8	123,939
Haleakala NP	HALE	National Park	Pacific West 	HI	1988	9	121,524
Haleakala NP	HALE	National Park	Pacific West 	HI	1988	10	125,375
Haleakala NP	HALE	National Park	Pacific West 	HI	1988	11	105,882
Haleakala NP	HALE	National Park	Pacific West 	HI	1988	12	83,551
Haleakala NP	HALE	National Park	Pacific West 	HI	1989	1	101,231
Haleakala NP	HALE	National Park	Pacific West 	HI	1989	2	84,668
Haleakala NP	HALE	National Park	Pacific West 	HI	1989	3	94,593
Haleakala NP	HALE	National Park	Pacific West 	HI	1989	4	91,889
Haleakala NP	HALE	National Park	Pacific West 	HI	1989	5	100,488
Haleakala NP	HALE	National Park	Pacific West 	HI	1989	6	122,355
Haleakala NP	HALE	National Park	Pacific West 	HI	1989	7	192,966
Haleakala NP	HALE	National Park	Pacific West 	HI	1989	8	148,736
Haleakala NP	HALE	National Park	Pacific West 	HI	1989	9	128,549
Haleakala NP	HALE	National Park	Pacific West 	HI	1989	10	117,524
Haleakala NP	HALE	National Park	Pacific West 	HI	1989	11	112,941
Haleakala NP	HALE	National Park	Pacific West 	HI	1989	12	71,821
Haleakala NP	HALE	National Park	Pacific West 	HI	1990	1	96,398
Haleakala NP	HALE	National Park	Pacific West 	HI	1990	2	90,972
Haleakala NP	HALE	National Park	Pacific West 	HI	1990	3	95,799
Haleakala NP	HALE	National Park	Pacific West 	HI	1990	4	122,876
Haleakala NP	HALE	National Park	Pacific West 	HI	1990	5	102,204
Haleakala NP	HALE	National Park	Pacific West 	HI	1990	6	125,376
Haleakala NP	HALE	National Park	Pacific West 	HI	1990	7	132,215
Haleakala NP	HALE	National Park	Pacific West 	HI	1990	8	132,383
Haleakala NP	HALE	National Park	Pacific West 	HI	1990	9	114,208
Haleakala NP	HALE	National Park	Pacific West 	HI	1990	10	96,892
Haleakala NP	HALE	National Park	Pacific West 	HI	1990	11	82,386
Haleakala NP	HALE	National Park	Pacific West 	HI	1990	12	68,892
Haleakala NP	HALE	National Park	Pacific West 	HI	1991	1	96,206
Haleakala NP	HALE	National Park	Pacific West 	HI	1991	2	97,209
Haleakala NP	HALE	National Park	Pacific West 	HI	1991	3	75,111
Haleakala NP	HALE	National Park	Pacific West 	HI	1991	4	100,206
Haleakala NP	HALE	National Park	Pacific West 	HI	1991	5	103,894
Haleakala NP	HALE	National Park	Pacific West 	HI	1991	6	99,062
Haleakala NP	HALE	National Park	Pacific West 	HI	1991	7	144,494
Haleakala NP	HALE	National Park	Pacific West 	HI	1991	8	111,671
Haleakala NP	HALE	National Park	Pacific West 	HI	1991	9	107,238
Haleakala NP	HALE	National Park	Pacific West 	HI	1991	10	97,481
Haleakala NP	HALE	National Park	Pacific West 	HI	1991	11	101,680
Haleakala NP	HALE	National Park	Pacific West 	HI	1991	12	94,080
Haleakala NP	HALE	National Park	Pacific West 	HI	1992	1	58,433
Haleakala NP	HALE	National Park	Pacific West 	HI	1992	2	97,447
Haleakala NP	HALE	National Park	Pacific West 	HI	1992	3	96,945
Haleakala NP	HALE	National Park	Pacific West 	HI	1992	4	97,948
Haleakala NP	HALE	National Park	Pacific West 	HI	1992	5	84,678
Haleakala NP	HALE	National Park	Pacific West 	HI	1992	6	101,009
Haleakala NP	HALE	National Park	Pacific West 	HI	1992	7	92,851
Haleakala NP	HALE	National Park	Pacific West 	HI	1992	8	118,816
Haleakala NP	HALE	National Park	Pacific West 	HI	1992	9	88,426
Haleakala NP	HALE	National Park	Pacific West 	HI	1992	10	121,630
Haleakala NP	HALE	National Park	Pacific West 	HI	1992	11	118,407
Haleakala NP	HALE	National Park	Pacific West 	HI	1992	12	106,534
Haleakala NP	HALE	National Park	Pacific West 	HI	1993	1	88,350
Haleakala NP	HALE	National Park	Pacific West 	HI	1993	2	152,283
Haleakala NP	HALE	National Park	Pacific West 	HI	1993	3	85,544
Haleakala NP	HALE	National Park	Pacific West 	HI	1993	4	126,533
Haleakala NP	HALE	National Park	Pacific West 	HI	1993	5	93,713
Haleakala NP	HALE	National Park	Pacific West 	HI	1993	6	106,935
Haleakala NP	HALE	National Park	Pacific West 	HI	1993	7	115,050
Haleakala NP	HALE	National Park	Pacific West 	HI	1993	8	120,755
Haleakala NP	HALE	National Park	Pacific West 	HI	1993	9	107,335
Haleakala NP	HALE	National Park	Pacific West 	HI	1993	10	121,585
Haleakala NP	HALE	National Park	Pacific West 	HI	1993	11	103,451
Haleakala NP	HALE	National Park	Pacific West 	HI	1993	12	95,899
Haleakala NP	HALE	National Park	Pacific West 	HI	1994	1	102,936
Haleakala NP	HALE	National Park	Pacific West 	HI	1994	2	159,327
Haleakala NP	HALE	National Park	Pacific West 	HI	1994	3	93,267
Haleakala NP	HALE	National Park	Pacific West 	HI	1994	4	134,951
Haleakala NP	HALE	National Park	Pacific West 	HI	1994	5	100,307
Haleakala NP	HALE	National Park	Pacific West 	HI	1994	6	112,234
Haleakala NP	HALE	National Park	Pacific West 	HI	1994	7	199,967
Haleakala NP	HALE	National Park	Pacific West 	HI	1994	8	152,979
Haleakala NP	HALE	National Park	Pacific West 	HI	1994	9	133,862
Haleakala NP	HALE	National Park	Pacific West 	HI	1994	10	116,825
Haleakala NP	HALE	National Park	Pacific West 	HI	1994	11	120,515
Haleakala NP	HALE	National Park	Pacific West 	HI	1994	12	100,159
Haleakala NP	HALE	National Park	Pacific West 	HI	1995	1	134,380
Haleakala NP	HALE	National Park	Pacific West 	HI	1995	2	132,045
Haleakala NP	HALE	National Park	Pacific West 	HI	1995	3	121,886
Haleakala NP	HALE	National Park	Pacific West 	HI	1995	4	140,538
Haleakala NP	HALE	National Park	Pacific West 	HI	1995	5	124,430
Haleakala NP	HALE	National Park	Pacific West 	HI	1995	6	111,178
Haleakala NP	HALE	National Park	Pacific West 	HI	1995	7	188,267
Haleakala NP	HALE	National Park	Pacific West 	HI	1995	8	157,857
Haleakala NP	HALE	National Park	Pacific West 	HI	1995	9	142,275
Haleakala NP	HALE	National Park	Pacific West 	HI	1995	10	123,823
Haleakala NP	HALE	National Park	Pacific West 	HI	1995	11	133,322
Haleakala NP	HALE	National Park	Pacific West 	HI	1995	12	84,595
Haleakala NP	HALE	National Park	Pacific West 	HI	1996	1	111,201
Haleakala NP	HALE	National Park	Pacific West 	HI	1996	2	119,625
Haleakala NP	HALE	National Park	Pacific West 	HI	1996	3	129,013
Haleakala NP	HALE	National Park	Pacific West 	HI	1996	4	133,043
Haleakala NP	HALE	National Park	Pacific West 	HI	1996	5	126,068
Haleakala NP	HALE	National Park	Pacific West 	HI	1996	6	140,642
Haleakala NP	HALE	National Park	Pacific West 	HI	1996	7	152,566
Haleakala NP	HALE	National Park	Pacific West 	HI	1996	8	155,078
Haleakala NP	HALE	National Park	Pacific West 	HI	1996	9	150,544
Haleakala NP	HALE	National Park	Pacific West 	HI	1996	10	127,845
Haleakala NP	HALE	National Park	Pacific West 	HI	1996	11	109,126
Haleakala NP	HALE	National Park	Pacific West 	HI	1996	12	98,593
Haleakala NP	HALE	National Park	Pacific West 	HI	1997	1	129,457
Haleakala NP	HALE	National Park	Pacific West 	HI	1997	2	121,002
Haleakala NP	HALE	National Park	Pacific West 	HI	1997	3	113,607
Haleakala NP	HALE	National Park	Pacific West 	HI	1997	4	120,553
Haleakala NP	HALE	National Park	Pacific West 	HI	1997	5	303,376
Haleakala NP	HALE	National Park	Pacific West 	HI	1997	6	169,108
Haleakala NP	HALE	National Park	Pacific West 	HI	1997	7	129,682
Haleakala NP	HALE	National Park	Pacific West 	HI	1997	8	145,065
Haleakala NP	HALE	National Park	Pacific West 	HI	1997	9	120,890
Haleakala NP	HALE	National Park	Pacific West 	HI	1997	10	118,759
Haleakala NP	HALE	National Park	Pacific West 	HI	1997	11	105,176
Haleakala NP	HALE	National Park	Pacific West 	HI	1997	12	96,886
Haleakala NP	HALE	National Park	Pacific West 	HI	1998	1	107,026
Haleakala NP	HALE	National Park	Pacific West 	HI	1998	2	99,737
Haleakala NP	HALE	National Park	Pacific West 	HI	1998	3	91,328
Haleakala NP	HALE	National Park	Pacific West 	HI	1998	4	114,344
Haleakala NP	HALE	National Park	Pacific West 	HI	1998	5	123,586
Haleakala NP	HALE	National Park	Pacific West 	HI	1998	6	132,121
Haleakala NP	HALE	National Park	Pacific West 	HI	1998	7	121,187
Haleakala NP	HALE	National Park	Pacific West 	HI	1998	8	133,780
Haleakala NP	HALE	National Park	Pacific West 	HI	1998	9	151,315
Haleakala NP	HALE	National Park	Pacific West 	HI	1998	10	122,463
Haleakala NP	HALE	National Park	Pacific West 	HI	1998	11	145,881
Haleakala NP	HALE	National Park	Pacific West 	HI	1998	12	134,074
Haleakala NP	HALE	National Park	Pacific West 	HI	1999	1	130,966
Haleakala NP	HALE	National Park	Pacific West 	HI	1999	2	125,510
Haleakala NP	HALE	National Park	Pacific West 	HI	1999	3	109,356
Haleakala NP	HALE	National Park	Pacific West 	HI	1999	4	138,267
Haleakala NP	HALE	National Park	Pacific West 	HI	1999	5	146,892
Haleakala NP	HALE	National Park	Pacific West 	HI	1999	6	162,232
Haleakala NP	HALE	National Park	Pacific West 	HI	1999	7	169,669
Haleakala NP	HALE	National Park	Pacific West 	HI	1999	8	174,416
Haleakala NP	HALE	National Park	Pacific West 	HI	1999	9	175,628
Haleakala NP	HALE	National Park	Pacific West 	HI	1999	10	203,174
Haleakala NP	HALE	National Park	Pacific West 	HI	1999	11	224,092
