Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1979	1	163
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1979	2	208
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1979	3	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1979	4	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1979	5	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1979	6	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1979	7	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1979	8	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1979	9	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1979	10	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1979	11	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1979	12	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1980	1	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1980	2	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1980	3	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1980	4	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1980	5	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1980	6	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1980	7	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1980	8	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1980	9	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1980	10	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1980	11	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1980	12	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1981	1	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1981	2	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1981	3	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1981	4	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1981	5	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1981	6	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1981	7	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1981	8	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1981	9	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1981	10	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1981	11	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1981	12	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1982	1	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1982	2	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1982	3	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1982	4	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1982	5	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1982	6	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1982	7	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1982	8	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1982	9	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1982	10	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1982	11	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1982	12	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1983	1	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1983	2	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1983	3	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1983	4	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1983	5	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1983	6	0
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1983	7	743
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1983	8	395
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1983	9	457
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1983	10	418
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1983	11	433
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1983	12	207
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1984	1	234
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1984	2	437
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1984	3	341
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1984	4	421
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1984	5	980
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1984	6	1,869
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1984	7	1,321
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1984	8	729
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1984	9	730
Hamilton Grange NMEM	HAGR	National Memorial	Northeast 	NY	1984	10	419
