Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1979	1	561
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1979	2	0
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1979	3	708
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1979	4	657
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1979	5	2,170
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1979	6	4,047
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1979	7	3,010
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1979	8	3,984
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1979	9	4,180
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1979	10	4,455
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1979	11	2,926
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1979	12	6,634
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1980	1	2,095
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1980	2	1,169
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1980	3	3,201
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1980	4	6,964
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1980	5	8,929
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1980	6	8,025
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1980	7	3,395
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1980	8	4,479
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1980	9	10,246
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1980	10	5,307
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1980	11	1,923
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1980	12	4,967
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1981	1	1,553
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1981	2	962
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1981	3	2,291
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1981	4	3,185
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1981	5	5,283
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1981	6	4,397
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1981	7	3,666
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1981	8	5,583
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1981	9	9,274
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1981	10	2,632
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1981	11	3,229
Hampton NHS	HAMP	National Historic Site	Northeast 	MD	1981	12	7,674
