Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1979	1	3,250
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1979	2	5,130
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1979	3	23,762
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1979	4	50,867
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1979	5	37,932
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1979	6	36,944
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1979	7	55,330
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1979	8	50,231
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1979	9	47,223
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1979	10	80,436
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1979	11	20,008
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1979	12	26,335
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1980	1	6,977
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1980	2	8,015
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1980	3	20,119
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1980	4	41,146
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1980	5	90,309
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1980	6	82,360
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1980	7	69,169
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1980	8	65,560
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1980	9	46,858
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1980	10	69,667
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1980	11	31,855
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1980	12	17,962
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1981	1	8,679
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1981	2	16,069
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1981	3	30,899
Harpers Ferry NHP	HAFE	National Historical Park	National Capital 	WV	1981	4	60,551
