Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Harriet Tubman Underground Railroad NHP	HATU	National Historical Park	Northeast 		2023	1	0
Harriet Tubman Underground Railroad NHP	HATU	National Historical Park	Northeast 		2023	2	0
Harriet Tubman Underground Railroad NHP	HATU	National Historical Park	Northeast 		2023	3	0
Harriet Tubman Underground Railroad NHP	HATU	National Historical Park	Northeast 		2023	4	0
Harriet Tubman Underground Railroad NHP	HATU	National Historical Park	Northeast 		2023	5	0
Harriet Tubman Underground Railroad NHP	HATU	National Historical Park	Northeast 		2023	6	2,185
Harriet Tubman Underground Railroad NHP	HATU	National Historical Park	Northeast 		2023	7	2,342
Harriet Tubman Underground Railroad NHP	HATU	National Historical Park	Northeast 		2023	8	2,240
Harriet Tubman Underground Railroad NHP	HATU	National Historical Park	Northeast 		2023	9	1,548
Harriet Tubman Underground Railroad NHP	HATU	National Historical Park	Northeast 		2023	10	1,314
Harriet Tubman Underground Railroad NHP	HATU	National Historical Park	Northeast 		2023	11	1,089
Harriet Tubman Underground Railroad NHP	HATU	National Historical Park	Northeast 		2023	12	728
Harriet Tubman Underground Railroad NHP	HATU	National Historical Park	Northeast 		2024	1	570
Harriet Tubman Underground Railroad NHP	HATU	National Historical Park	Northeast 		2024	2	1,110
Harriet Tubman Underground Railroad NHP	HATU	National Historical Park	Northeast 		2024	3	1,772
Harriet Tubman Underground Railroad NHP	HATU	National Historical Park	Northeast 		2024	4	1,552
Harriet Tubman Underground Railroad NHP	HATU	National Historical Park	Northeast 		2024	5	1,897
Harriet Tubman Underground Railroad NHP	HATU	National Historical Park	Northeast 		2024	6	2,179
Harriet Tubman Underground Railroad NHP	HATU	National Historical Park	Northeast 		2024	7	2,264
Harriet Tubman Underground Railroad NHP	HATU	National Historical Park	Northeast 		2024	8	1,826
Harriet Tubman Underground Railroad NHP	HATU	National Historical Park	Northeast 		2024	9	1,576
Harriet Tubman Underground Railroad NHP	HATU	National Historical Park	Northeast 		2024	10	1,350
Harriet Tubman Underground Railroad NHP	HATU	National Historical Park	Northeast 		2024	11	1,100
Harriet Tubman Underground Railroad NHP	HATU	National Historical Park	Northeast 		2024	12	750
