Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1984	1	0
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1984	2	0
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1984	3	0
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1984	4	0
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1984	5	8,867
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1984	6	17,921
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1984	7	19,047
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1984	8	15,890
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1984	9	11,847
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1984	10	11,688
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1984	11	9,338
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1984	12	5,567
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1985	1	2,364
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1985	2	2,737
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1985	3	7,176
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1985	4	11,299
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1985	5	14,908
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1985	6	14,830
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1985	7	15,936
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1985	8	14,472
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1985	9	11,410
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1985	10	10,324
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1985	11	3,610
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1985	12	5,620
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1986	1	3,308
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1986	2	3,298
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1986	3	7,244
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1986	4	8,761
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1986	5	11,586
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1986	6	14,178
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1986	7	18,314
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1986	8	16,065
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1986	9	11,460
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1986	10	9,867
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1986	11	5,940
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1986	12	4,081
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1987	1	2,299
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1987	2	3,748
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1987	3	6,929
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1987	4	7,174
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1987	5	12,118
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1987	6	13,779
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1987	7	15,879
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1987	8	13,078
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1987	9	10,993
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1987	10	7,737
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1987	11	4,742
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1987	12	3,209
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1988	1	3,330
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1988	2	3,270
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1988	3	5,678
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1988	4	7,708
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1988	5	10,002
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1988	6	13,645
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1988	7	16,173
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1988	8	18,034
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1988	9	15,130
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1988	10	14,042
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1988	11	9,306
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1988	12	9,382
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1989	1	2,449
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1989	2	2,807
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1989	3	6,506
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1989	4	7,813
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1989	5	12,299
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1989	6	15,831
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1989	7	17,583
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1989	8	13,810
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1989	9	12,813
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1989	10	9,561
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1989	11	7,929
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1989	12	6,167
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1990	1	3,145
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1990	2	3,313
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1990	3	7,901
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1990	4	8,856
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1990	5	15,366
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1990	6	17,729
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1990	7	18,795
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1990	8	14,486
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1990	9	11,572
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1990	10	8,673
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1990	11	6,816
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1990	12	3,405
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1991	1	1,311
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1991	2	3,499
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1991	3	5,720
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1991	4	6,784
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1991	5	10,410
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1991	6	16,516
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1991	7	17,976
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1991	8	17,754
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1991	9	12,559
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1991	10	11,733
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1991	11	5,042
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1991	12	5,936
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1992	1	4,647
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1992	2	4,106
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1992	3	6,335
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1992	4	8,622
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1992	5	13,349
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1992	6	16,530
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1992	7	17,645
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1992	8	15,781
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1992	9	11,285
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1992	10	11,399
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1992	11	3,648
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1992	12	2,238
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1993	1	1,471
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1993	2	2,024
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1993	3	4,133
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1993	4	4,960
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1993	5	8,557
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1993	6	9,843
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1993	7	10,003
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1993	8	9,074
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1993	9	7,198
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1993	10	6,375
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1993	11	3,296
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1993	12	2,377
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1994	1	1,123
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1994	2	1,988
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1994	3	4,258
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1994	4	5,077
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1994	5	7,293
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1994	6	8,401
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1994	7	9,236
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1994	8	7,836
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1994	9	6,399
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1994	10	5,568
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1994	11	3,417
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1994	12	2,258
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1995	1	1,360
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1995	2	2,195
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1995	3	3,926
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1995	4	5,417
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1995	5	7,233
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1995	6	9,406
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1995	7	9,932
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1995	8	9,093
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1995	9	7,269
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1995	10	6,445
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1995	11	3,633
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1995	12	905
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1996	1	1,039
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1996	2	2,118
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1996	3	3,909
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1996	4	4,941
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1996	5	7,367
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1996	6	9,026
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1996	7	9,766
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1996	8	8,812
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1996	9	5,837
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1996	10	5,974
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1996	11	3,813
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1996	12	2,861
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1997	1	2,780
Harry S Truman NHS	HSTR	National Historic Site	Midwest 	MO	1997	2	2,358
