Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1979	1	133,674
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1979	2	93,057
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1979	3	108,100
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1979	4	118,288
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1979	5	128,869
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1979	6	92,599
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1979	7	175,806
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1979	8	218,713
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1979	9	166,843
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1979	10	155,487
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1979	11	131,957
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1979	12	109,196
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1980	1	146,886
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1980	2	135,725
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1980	3	127,277
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1980	4	128,456
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1980	5	134,571
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1980	6	172,270
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1980	7	126,035
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1980	8	112,619
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1980	9	168,591
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1980	10	127,461
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1980	11	129,684
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1980	12	182,763
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1981	1	203,978
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1981	2	200,062
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1981	3	125,536
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1981	4	140,680
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1981	5	163,947
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1981	6	158,268
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1981	7	197,894
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1981	8	173,408
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1981	9	203,737
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1981	10	136,572
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1981	11	103,393
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1981	12	124,377
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1982	1	144,417
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1982	2	172,170
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1982	3	172,152
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1982	4	241,748
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1982	5	163,934
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1982	6	162,018
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1982	7	160,212
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1982	8	171,327
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1982	9	185,454
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1982	10	151,852
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1982	11	131,876
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1982	12	138,237
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1983	1	158,424
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1983	2	157,046
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1983	3	181,010
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1983	4	155,835
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1983	5	176,620
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1983	6	246,245
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1983	7	201,278
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1983	8	258,156
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1983	9	232,837
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1983	10	122,698
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1983	11	184,322
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1983	12	173,503
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1984	1	173,451
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1984	2	163,320
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1984	3	142,507
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1984	4	184,180
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1984	5	180,700
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1984	6	172,446
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1984	7	203,660
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1984	8	197,547
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1984	9	133,460
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1984	10	162,888
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1984	11	162,619
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1984	12	131,830
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1985	1	67,584
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1985	2	76,428
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1985	3	68,810
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1985	4	81,382
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1985	5	59,264
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1985	6	64,642
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1985	7	83,543
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1985	8	50,864
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1985	9	80,569
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1985	10	64,584
Hawaii Volcanoes NP	HAVO	National Park	Pacific West 	HI	1985	11	66,745
