Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1979	1	9,320
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1979	2	8,475
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1979	3	12,405
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1979	4	17,350
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1979	5	19,545
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1979	6	25,525
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1979	7	31,228
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1979	8	30,180
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1979	9	19,610
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1979	10	17,400
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1979	11	8,587
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1979	12	5,403
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1980	1	10,218
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1980	2	10,368
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1980	3	15,858
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1980	4	17,983
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1980	5	23,777
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1980	6	23,008
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1980	7	29,097
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1980	8	27,495
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1980	9	21,105
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1980	10	17,250
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1980	11	10,083
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1980	12	6,460
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1981	1	13,641
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1981	2	9,642
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1981	3	23,192
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1981	4	38,307
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1981	5	24,717
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1981	6	25,651
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1981	7	33,179
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1981	8	31,976
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1981	9	23,064
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1981	10	18,511
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1981	11	8,470
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1981	12	6,560
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1982	1	7,874
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1982	2	11,699
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1982	3	13,519
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1982	4	17,602
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1982	5	27,119
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1982	6	38,390
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1982	7	39,262
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1982	8	32,674
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1982	9	27,773
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1982	10	19,763
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1982	11	10,168
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1982	12	8,491
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1983	1	5,977
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1983	2	10,645
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1983	3	18,101
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1983	4	20,305
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1983	5	23,318
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1983	6	32,906
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1983	7	30,991
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1983	8	46,816
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1983	9	21,275
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1983	10	14,880
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1983	11	9,914
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1983	12	7,434
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1984	1	8,545
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1984	2	8,302
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1984	3	8,798
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1984	4	15,483
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1984	5	22,934
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1984	6	32,513
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1984	7	35,545
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1984	8	31,918
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1984	9	20,091
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1984	10	16,836
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1984	11	10,334
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1984	12	15,130
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1985	1	7,164
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1985	2	5,090
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1985	3	10,540
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1985	4	17,878
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1985	5	23,394
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1985	6	30,293
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1985	7	30,727
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1985	8	30,315
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1985	9	24,130
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1985	10	16,054
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1985	11	5,025
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1985	12	7,235
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1986	1	6,755
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1986	2	6,665
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1986	3	13,197
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1986	4	16,148
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1986	5	24,075
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1986	6	33,477
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1986	7	34,466
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1986	8	33,527
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1986	9	18,771
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1986	10	15,491
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1986	11	11,073
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1986	12	10,295
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1987	1	6,919
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1987	2	7,595
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1987	3	13,389
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1987	4	15,463
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1987	5	23,005
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1987	6	30,396
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1987	7	33,031
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1987	8	30,179
Herbert Hoover NHS	HEHO	National Historic Site	Midwest 	IA	1987	9	23,281
