Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1979	1	3,988
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1979	2	5,520
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1979	3	9,906
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1979	4	21,505
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1979	5	30,167
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1979	6	28,363
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1979	7	36,473
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1979	8	45,814
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1979	9	32,375
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1979	10	35,350
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1979	11	10,409
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1979	12	6,939
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1980	1	5,269
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1980	2	6,640
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1980	3	7,694
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1980	4	16,960
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1980	5	34,863
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1980	6	36,147
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1980	7	47,977
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1980	8	60,154
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1980	9	36,042
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1980	10	45,205
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1980	11	14,878
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1980	12	4,706
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1981	1	4,550
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1981	2	9,476
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1981	3	13,581
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1981	4	16,764
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1981	5	30,688
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1981	6	34,292
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1981	7	40,417
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1981	8	45,148
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1981	9	26,470
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1981	10	36,767
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1981	11	10,568
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1981	12	3,408
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1982	1	7,735
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1982	2	5,312
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1982	3	5,089
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1982	4	13,778
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1982	5	27,826
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1982	6	29,185
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1982	7	50,304
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1982	8	43,263
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1982	9	22,884
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1982	10	42,021
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1982	11	14,928
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1982	12	5,944
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1983	1	3,159
Home of Franklin D. Roosevelt NHS	HOFR	National Historic Site	Northeast 	NY	1983	2	4,454
