Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1979	1	93
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1979	2	294
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1979	3	652
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1979	4	946
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1979	5	2,235
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1979	6	2,622
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1979	7	4,604
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1979	8	2,984
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1979	9	1,812
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1979	10	1,051
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1979	11	503
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1979	12	288
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1980	1	148
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1980	2	315
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1980	3	359
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1980	4	811
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1980	5	1,840
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1980	6	2,589
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1980	7	3,602
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1980	8	3,144
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1980	9	1,443
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1980	10	1,043
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1980	11	758
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1980	12	226
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1981	1	384
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1981	2	281
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1981	3	659
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1981	4	956
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1981	5	2,103
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1981	6	2,416
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1981	7	3,106
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1981	8	3,645
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1981	9	1,216
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1981	10	959
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1981	11	511
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1981	12	185
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1982	1	209
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1982	2	293
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1982	3	425
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1982	4	862
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1982	5	1,813
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1982	6	3,008
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1982	7	3,956
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1982	8	4,431
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1982	9	2,051
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1982	10	1,199
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1982	11	436
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1982	12	288
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1983	1	196
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1983	2	253
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1983	3	551
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1983	4	868
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1983	5	2,599
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1983	6	3,135
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1983	7	6,609
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1983	8	3,780
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1983	9	2,055
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1983	10	1,820
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1983	11	517
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1983	12	225
Homestead NHP	HOME	National Historical Park	Midwest 	NE	1984	1	321
