Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1979	1	165
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1979	2	173
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1979	3	1,320
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1979	4	3,475
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1979	5	8,704
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1979	6	5,690
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1979	7	8,988
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1979	8	9,608
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1979	9	4,226
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1979	10	6,168
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1979	11	2,246
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1979	12	751
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1980	1	456
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1980	2	448
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1980	3	1,243
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1980	4	3,207
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1980	5	7,753
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1980	6	6,281
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1980	7	9,432
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1980	8	12,215
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1980	9	6,078
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1980	10	5,974
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1980	11	2,636
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1980	12	1,428
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1981	1	533
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1981	2	1,966
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1981	3	3,645
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1981	4	3,454
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1981	5	7,997
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1981	6	7,363
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1981	7	9,618
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1981	8	10,232
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1981	9	6,070
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1981	10	6,118
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1981	11	2,304
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1981	12	437
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1982	1	342
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1982	2	487
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1982	3	1,899
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1982	4	2,429
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1982	5	6,026
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1982	6	4,902
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1982	7	8,087
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1982	8	9,164
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1982	9	4,185
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1982	10	4,417
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1982	11	1,126
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1982	12	542
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1983	1	516
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1983	2	1,125
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1983	3	1,574
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1983	4	2,315
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1983	5	5,469
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1983	6	5,480
Hopewell Culture NHP	HOCU	National Historical Park	Midwest 	OH	1983	7	8,762
