Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1979	1	2,441
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1979	2	3,103
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1979	3	7,469
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1979	4	9,964
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1979	5	12,574
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1979	6	14,633
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1979	7	21,152
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1979	8	21,772
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1979	9	15,093
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1979	10	15,334
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1979	11	7,053
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1979	12	2,862
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1980	1	5,840
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1980	2	3,993
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1980	3	5,561
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1980	4	10,992
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1980	5	17,095
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1980	6	21,720
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1980	7	30,917
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1980	8	27,292
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1980	9	14,286
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1980	10	14,280
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1980	11	7,141
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1980	12	3,957
Hopewell Furnace NHS	HOFU	National Historic Site	Northeast 	PA	1981	1	2,821
