Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1979	1	1,898
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1979	2	2,272
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1979	3	5,282
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1979	4	5,174
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1979	5	5,455
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1979	6	5,748
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1979	7	5,567
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1979	8	4,785
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1979	9	2,799
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1979	10	4,986
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1979	11	4,166
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1979	12	2,434
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1980	1	2,177
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1980	2	1,907
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1980	3	4,458
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1980	4	3,135
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1980	5	2,852
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1980	6	2,193
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1980	7	4,092
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1980	8	8,613
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1980	9	3,519
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1980	10	4,732
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1980	11	4,052
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1980	12	2,593
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1981	1	2,915
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1981	2	3,718
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1981	3	7,248
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1981	4	9,259
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1981	5	8,349
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1981	6	7,350
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1981	7	19,256
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1981	8	6,656
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1981	9	3,892
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1981	10	4,988
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1981	11	3,357
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1981	12	1,400
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1982	1	1,414
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1982	2	1,992
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1982	3	4,221
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1982	4	5,878
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1982	5	8,485
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1982	6	7,375
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1982	7	8,049
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1982	8	9,520
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1982	9	4,348
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1982	10	4,261
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1982	11	1,626
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1982	12	370
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1983	1	884
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1983	2	2,416
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1983	3	4,798
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1983	4	6,854
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1983	5	7,236
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1983	6	6,725
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1983	7	6,944
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1983	8	8,501
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1983	9	5,872
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1983	10	5,848
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1983	11	4,231
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1983	12	2,205
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1984	1	3,237
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1984	2	2,792
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1984	3	5,330
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1984	4	8,623
Horseshoe Bend NMP	HOBE	National Military Park	Southeast 	AL	1984	5	4,722
