Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Hot Springs NP	HOSP	National Park	Midwest 	AR	1979	1	21,149
Hot Springs NP	HOSP	National Park	Midwest 	AR	1979	2	29,371
Hot Springs NP	HOSP	National Park	Midwest 	AR	1979	3	87,492
Hot Springs NP	HOSP	National Park	Midwest 	AR	1979	4	97,195
Hot Springs NP	HOSP	National Park	Midwest 	AR	1979	5	107,625
Hot Springs NP	HOSP	National Park	Midwest 	AR	1979	6	142,045
Hot Springs NP	HOSP	National Park	Midwest 	AR	1979	7	151,973
Hot Springs NP	HOSP	National Park	Midwest 	AR	1979	8	142,604
Hot Springs NP	HOSP	National Park	Midwest 	AR	1979	9	106,537
Hot Springs NP	HOSP	National Park	Midwest 	AR	1979	10	114,276
Hot Springs NP	HOSP	National Park	Midwest 	AR	1979	11	67,510
Hot Springs NP	HOSP	National Park	Midwest 	AR	1979	12	51,023
Hot Springs NP	HOSP	National Park	Midwest 	AR	1980	1	52,196
Hot Springs NP	HOSP	National Park	Midwest 	AR	1980	2	53,541
Hot Springs NP	HOSP	National Park	Midwest 	AR	1980	3	84,023
Hot Springs NP	HOSP	National Park	Midwest 	AR	1980	4	96,535
Hot Springs NP	HOSP	National Park	Midwest 	AR	1980	5	124,455
Hot Springs NP	HOSP	National Park	Midwest 	AR	1980	6	146,622
Hot Springs NP	HOSP	National Park	Midwest 	AR	1980	7	139,453
Hot Springs NP	HOSP	National Park	Midwest 	AR	1980	8	142,694
Hot Springs NP	HOSP	National Park	Midwest 	AR	1980	9	89,118
Hot Springs NP	HOSP	National Park	Midwest 	AR	1980	10	106,969
Hot Springs NP	HOSP	National Park	Midwest 	AR	1980	11	70,517
Hot Springs NP	HOSP	National Park	Midwest 	AR	1980	12	54,465
Hot Springs NP	HOSP	National Park	Midwest 	AR	1981	1	55,488
Hot Springs NP	HOSP	National Park	Midwest 	AR	1981	2	60,789
Hot Springs NP	HOSP	National Park	Midwest 	AR	1981	3	98,911
Hot Springs NP	HOSP	National Park	Midwest 	AR	1981	4	102,476
Hot Springs NP	HOSP	National Park	Midwest 	AR	1981	5	114,964
Hot Springs NP	HOSP	National Park	Midwest 	AR	1981	6	134,307
Hot Springs NP	HOSP	National Park	Midwest 	AR	1981	7	159,623
Hot Springs NP	HOSP	National Park	Midwest 	AR	1981	8	149,631
Hot Springs NP	HOSP	National Park	Midwest 	AR	1981	9	110,964
Hot Springs NP	HOSP	National Park	Midwest 	AR	1981	10	87,198
Hot Springs NP	HOSP	National Park	Midwest 	AR	1981	11	60,430
Hot Springs NP	HOSP	National Park	Midwest 	AR	1981	12	43,130
Hot Springs NP	HOSP	National Park	Midwest 	AR	1982	1	29,414
Hot Springs NP	HOSP	National Park	Midwest 	AR	1982	2	41,679
Hot Springs NP	HOSP	National Park	Midwest 	AR	1982	3	80,515
Hot Springs NP	HOSP	National Park	Midwest 	AR	1982	4	82,246
Hot Springs NP	HOSP	National Park	Midwest 	AR	1982	5	96,045
Hot Springs NP	HOSP	National Park	Midwest 	AR	1982	6	115,225
Hot Springs NP	HOSP	National Park	Midwest 	AR	1982	7	139,465
Hot Springs NP	HOSP	National Park	Midwest 	AR	1982	8	138,067
Hot Springs NP	HOSP	National Park	Midwest 	AR	1982	9	97,204
Hot Springs NP	HOSP	National Park	Midwest 	AR	1982	10	90,911
Hot Springs NP	HOSP	National Park	Midwest 	AR	1982	11	60,401
Hot Springs NP	HOSP	National Park	Midwest 	AR	1982	12	44,408
Hot Springs NP	HOSP	National Park	Midwest 	AR	1983	1	47,066
Hot Springs NP	HOSP	National Park	Midwest 	AR	1983	2	56,233
Hot Springs NP	HOSP	National Park	Midwest 	AR	1983	3	92,791
Hot Springs NP	HOSP	National Park	Midwest 	AR	1983	4	86,097
Hot Springs NP	HOSP	National Park	Midwest 	AR	1983	5	130,060
Hot Springs NP	HOSP	National Park	Midwest 	AR	1983	6	169,209
Hot Springs NP	HOSP	National Park	Midwest 	AR	1983	7	164,046
Hot Springs NP	HOSP	National Park	Midwest 	AR	1983	8	122,092
Hot Springs NP	HOSP	National Park	Midwest 	AR	1983	9	98,063
Hot Springs NP	HOSP	National Park	Midwest 	AR	1983	10	106,371
Hot Springs NP	HOSP	National Park	Midwest 	AR	1983	11	65,577
Hot Springs NP	HOSP	National Park	Midwest 	AR	1983	12	22,403
Hot Springs NP	HOSP	National Park	Midwest 	AR	1984	1	27,201
Hot Springs NP	HOSP	National Park	Midwest 	AR	1984	2	57,157
Hot Springs NP	HOSP	National Park	Midwest 	AR	1984	3	74,511
Hot Springs NP	HOSP	National Park	Midwest 	AR	1984	4	85,552
Hot Springs NP	HOSP	National Park	Midwest 	AR	1984	5	109,706
Hot Springs NP	HOSP	National Park	Midwest 	AR	1984	6	127,648
Hot Springs NP	HOSP	National Park	Midwest 	AR	1984	7	145,059
Hot Springs NP	HOSP	National Park	Midwest 	AR	1984	8	133,205
Hot Springs NP	HOSP	National Park	Midwest 	AR	1984	9	111,531
Hot Springs NP	HOSP	National Park	Midwest 	AR	1984	10	88,962
Hot Springs NP	HOSP	National Park	Midwest 	AR	1984	11	63,080
Hot Springs NP	HOSP	National Park	Midwest 	AR	1984	12	48,241
Hot Springs NP	HOSP	National Park	Midwest 	AR	1985	1	38,205
