Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1979	1	18
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1979	2	52
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1979	3	373
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1979	4	1,599
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1979	5	3,239
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1979	6	2,358
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1979	7	2,287
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1979	8	2,128
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1979	9	1,342
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1979	10	968
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1979	11	299
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1979	12	152
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1980	1	102
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1980	2	102
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1980	3	458
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1980	4	1,104
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1980	5	1,761
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1980	6	1,916
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1980	7	2,450
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1980	8	2,676
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1980	9	1,361
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1980	10	985
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1980	11	372
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1980	12	304
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1981	1	447
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1981	2	293
Hovenweep NM	HOVE	National Monument	Intermountain 	CO	1981	3	533
