Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1979	1	601
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1979	2	691
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1979	3	1,978
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1979	4	3,433
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1979	5	4,603
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1979	6	4,904
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1979	7	5,709
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1979	8	6,324
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1979	9	3,449
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1979	10	3,017
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1979	11	765
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1979	12	870
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1980	1	606
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1980	2	4,533
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1980	3	5,946
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1980	4	9,783
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1980	5	16,428
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1980	6	15,963
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1980	7	16,123
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1980	8	9,299
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1980	9	4,871
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1980	10	11,346
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1980	11	5,052
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1980	12	6,408
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1981	1	4,158
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1981	2	6,608
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1981	3	11,018
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1981	4	11,754
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1981	5	17,283
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1981	6	13,824
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1981	7	18,274
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1981	8	20,848
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1981	9	26,473
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1981	10	14,653
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1981	11	9,597
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1981	12	10,061
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1982	1	6,933
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1982	2	6,405
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1982	3	12,053
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1982	4	11,914
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1982	5	15,254
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1982	6	19,069
Hubbell Trading Post NHS	HUTR	National Historic Site	Intermountain 	AZ	1982	7	19,400
